Niveau;Code ISCO;Libellé
1;1000;Directeurs, cadres dirigeants et gérants
2;1100;Directeurs généraux, directeurs de l'administration, membres de l'Exécutif et des corps législatifs
3;1110;Membres des corps législatifs et exécutifs, directeurs et cadres supérieurs de l’administration publique
4;1111;Membres des corps législatifs et exécutifs
4;1112;Directeurs et cadres supérieurs de l’administration publique
4;1113;Chefs traditionnels et chefs de village
4;1114;Directeurs et cadres dirigeants d'organisations spécialisées
3;1120;Directeurs généraux d'entreprise
4;1120;Directeurs généraux d'entreprise
2;1200;Directeurs et cadres dirigeants des services administratifs et commerciaux
3;1210;Directeurs et cadres dirigeants des services administratifs
4;1211;Directeurs et cadres dirigeants, services financiers
4;1212;Directeurs et cadres dirigeants, ressources humaines
4;1213;Directeurs et cadres dirigeants, stratégie et planifications
4;1219;Directeurs et cadres dirigeants de services administratifs non classés ailleurs
3;1220;Directeurs et cadres dirigeants, ventes, commercialisation et développement
4;1221;Directeurs et cadres dirigeants, ventes et commercialisation
4;1222;Directeurs et cadres dirigeants, publicité et relations publiques
4;1223;Directeurs et cadres dirigeants, recherche-développement
2;1300;Directeurs et cadres dirigeants, production de biens et prestation de services spécialisés
3;1310;Directeurs et cadres dirigeants, agriculture, sylviculture et pêche
4;1311;Directeurs et cadres dirigeants, agriculture et sylviculture
4;1312;Directeurs et cadres dirigeants, aquaculture et pêche
3;1320;Directeurs et cadres dirigeants, industries manufacturières, mines, construction et distribution
4;1321;Directeurs et cadres dirigeants, industries manufacturières
4;1322;Directeurs et cadres dirigeants, mines
4;1323;Directeurs et cadres dirigeants, construction
4;1324;Directeurs et cadres dirigeants, approvisionnement, distribution et assimilés
3;1330;Directeurs et cadres dirigeants, technologies de l'information et des communications
4;1330;Directeurs et cadres dirigeants, technologies de l'information et des communications
3;1340;Directeurs et cadres dirigeants, prestation de services spécialisés
4;1341;Directeurs et cadres dirigeants, garde d'enfants
4;1342;Directeurs et cadres dirigeants, services de santé
4;1343;Directeurs et cadres dirigeants, services aux personnes âgées
4;1344;Directeurs et cadres dirigeants, services sociaux
4;1345;Directeurs et cadres dirigeants, enseignement
4;1346;Directeurs et cadres dirigeants, succursales de banque, services financiers et assurances
4;1349;Autres directeurs et cadres dirigeants, prestation de services spécialisés non classés ailleurs
2;1400;Directeurs et gérants de l’hôtellerie, de la restauration, du commerce et d’autres services
3;1410;Directeurs et gérants, hôtellerie et restauration
4;1411;Directeurs et gérants, hôtellerie
4;1412;Directeurs et gérants, restauration
3;1420;Directeurs et gérants, commerce de détail et de gros
4;1420;Directeurs et gérants, commerce de détail et de gros
3;1430;Autres directeurs et gérants
4;1431;Directeurs et gérants, centres sportifs, centres de loisirs et centres culturels
4;1439;Directeurs et gérants, services non classés ailleurs
1;2000;Professions intellectuelles et scientifiques
2;2100;Ingénieurs et spécialistes des sciences et des techniques
3;2110;Physiciens, chimistes et assimilés
4;2111;Physiciens et astronomes
4;2112;Météorologues
4;2113;Chimistes
4;2114;Géologues et géophysiciens
3;2120;Mathématiciens, actuaires et statisticiens
4;2120;Mathématiciens, actuaires et statisticiens
3;2130;Ingénieurs et spécialistes des sciences de la vie
4;2131;Biologistes, botanistes, zoologistes et assimilés
4;2132;Agronomes et assimilés
4;2133;Ingénieurs et spécialistes de la protection de l'environnement
3;2140;Ingénieurs et spécialistes des sciences techniques (sauf électrotechniques)
4;2141;Ingénieurs et spécialistes des sciences techniques de la production et de l'industrie
4;2142;Ingénieurs du génie civil et du bâtiment
4;2143;Ingénieurs et spécialistes de l'environnement
4;2144;Ingénieurs mécaniciens
4;2145;Ingénieurs chimistes
4;2146;Ingénieurs des mines, ingénieurs métallurgistes et assimilés
4;2149;Spécialistes, sciences techniques non classés ailleurs
3;2150;Ingénieurs de l'électrotechnique
4;2151;Ingénieurs électriciens
4;2152;Ingénieurs électroniciens
4;2153;Ingénieurs et spécialistes des télécommunications
3;2160;Architectes, urbanistes, géomètres et concepteurs
4;2161;Architectes, bâtiment
4;2162;Architectes paysagistes
4;2163;Concepteurs modélistes de produits et de vêtements
4;2164;Urbanistes et aménageurs des transports
4;2165;Cartographes et géomètres
4;2166;Graphistes et concepteurs graphiques, multimédia
2;2200;Médecins et professionnels de santé 
3;2210;Médecins
4;2211;Médecins généralistes
4;2212;Médecins spécialistes
3;2220;Cadres infirmiers et sages-femmes
4;2221;Cadres infirmiers
4;2222;Cadres sages-femmes
3;2230;Spécialistes des médecines traditionnelles et des médecines complémentaires
4;2230;Spécialistes des médecines traditionnelles et des médecines complémentaires
3;2240;Praticiens paramédicaux
4;2240;Praticiens paramédicaux
3;2250;Vétérinaires
4;2250;Vétérinaires
3;2260;Autres professionnels de santé 
4;2261;Dentistes
4;2262;Pharmaciens
4;2263;Spécialistes de la salubrité de l'environnement, de l'hygiène et de la santé au travail
4;2264;Kinésithérapeutes et physiothérapeutes
4;2265;Diététiciens et spécialistes de la nutrition
4;2266;Audiologistes et orthophonistes
4;2267;Optométristes
4;2269;Professionnels de santé non classés ailleurs
2;2300;Enseignants et professionnels de l’enseignement
3;2310;Professeurs d'université et d'établissements d'enseignement supérieur
4;2310;Professeurs d'université et d'établissements d'enseignement supérieur
3;2320;Professeurs, enseignement technique et professionnel 
4;2320;Professeurs, enseignement technique et professionnel 
3;2330;Professeurs, enseignement secondaire
4;2330;Professeurs, enseignement secondaire
3;2340;Instituteurs, enseignement primaire et éducateurs de la petite enfance
4;2341;Instituteurs, enseignement en primaire et en maternelle
4;2342;Éducateurs de la petite enfance
3;2350;Autres professionnels de l’enseignement
4;2351;Spécialistes des méthodes d'enseignement
4;2352;Enseignants, éducation spécialisée
4;2353;Autres professeurs de langues
4;2354;Autres professeurs de musique
4;2355;Autres professeurs de disciplines artistiques
4;2356;Formateurs en technologies de l'information
4;2359;Professionnels de l'enseignement, non classés ailleurs
2;2400;Cadres administratifs, financiers et commerciaux
3;2410;Cadres spécialistes en finances
4;2411;Cadres comptables
4;2412;Conseillers en finances et investissements
4;2413;Analystes financiers
3;2420;Cadres spécialistes des fonctions administratives
4;2421;Analystes, gestion et organisation
4;2422;Cadres, administration et politiques
4;2423;Cadres, ressources humaines et évolution de carrière
4;2424;cadres de la formation du personnel
3;2430;Cadres spécialistes des ventes, de la commercialisation et des relations publiques
4;2431;Cadres spécialistes de la publicité et de la commercialisation
4;2432;Cadres spécialistes des relations publiques
4;2433;Cadres spécialistes des ventes, secteurs médical et technique (à l'exception des TIC)
4;2434;Cadres spécialistes des ventes, technologies de l'information et des communications
2;2500;Ingénieurs et professionnels des technologies de l’information et des communications
3;2510;Analystes et concepteurs de logiciels et d'outils multimédias
4;2511;Analystes de systèmes
4;2512;Concepteurs de logiciels
4;2513;Concepteurs de sites internet et d'outils multimédias
4;2514;Programmeurs d'applications
4;2519;Concepteurs et analystes de logiciels, et concepteurs de multimédia non classés ailleurs
3;2520;Ingénieurs et spécialistes des bases de données et des réseaux informatiques
4;2521;Concepteurs et administrateurs de bases de données
4;2522;Administrateurs de systèmes
4;2523;Ingénieurs et spécialistes des réseaux informatiques
4;2529;Ingénieurs et spécialistes des bases de données et des réseaux informatiques non classés ailleurs
2;2600;Professionnels de la justice, des sciences sociales et de la culture
3;2610;Juristes
4;2611;Avocats
4;2612;Magistrats
4;2619;Juristes non classés ailleurs
3;2620;Archivistes, bibliothécaires, documentalistes et assimilés
4;2621;Archivistes paléographes et conservateurs de musée
4;2622;Bibliothécaires, documentalistes et professions assimilées
3;2630;Spécialistes des sciences sociales et des cultes
4;2631;Économistes
4;2632;Sociologues, anthropologues et assimilés
4;2633;Philosophes, historiens et spécialistes des sciences politiques
4;2634;Psychologues
4;2635;Spécialistes du travail social
4;2636;Ministres des cultes
3;2640;Auteurs, journalistes, éditeurs et linguistes
4;2641;Auteurs, éditeurs de livres et autres écrivains
4;2642;Journalistes et éditeurs de journaux
4;2643;Traducteurs, interprètes et linguistes
3;2650;Artistes auteurs et interprètes
4;2651;Artistes plasticiens
4;2652;Compositeurs, musiciens et chanteurs
4;2653;Danseurs et chorégraphes
4;2654;Directeurs, producteurs et metteurs en scène de cinéma, de théâtre et d'autres spectacles
4;2655;Acteurs
4;2656;Animateurs-présentateurs de radio, de télévision et autres médias
4;2659;Artistes auteurs et interprètes non classés ailleurs
1;3000;Professions intermédiaires
2;3100;Professions intermédiaires des sciences et des techniques
3;3110;Techniciens des sciences physiques et des techniques
4;3111;Techniciens des sciences chimiques et physiques
4;3112;Techniciens du génie civil et de la construction
4;3113;Techniciens en électricité
4;3114;Techniciens en électronique
4;3115;Techniciens en construction mécanique
4;3116;Techniciens en chimie industrielle
4;3117;Techniciens des mines, techniciens métallurgistes
4;3118;Dessinateurs industriels
4;3119;Techniciens des sciences physiques et techniques non classés ailleurs
3;3120;Superviseurs, mines, industries manufacturières et construction
4;3121;Superviseurs, mines
4;3122;Superviseurs, industries manufacturières
4;3123;Superviseurs, construction
3;3130;Techniciens, contrôle de processus industriels
4;3131;Conducteurs d'installations de production d'électricité
4;3132;Conducteurs d'incinérateurs et d'installations de traitement de l'eau
4;3133;Contrôleurs d'installations de traitement chimique
4;3134;Conducteurs d'installations de raffinage de pétrole et de gaz naturel
4;3135;Contrôleurs des processus industriels, métallurgie
4;3139;Techniciens, contrôle de processus industriels non classés ailleurs
3;3140;Techniciens et professions intermédiaires des sciences de la vie
4;3141;Techniciens des sciences de la vie (à l'exception de la médecine)
4;3142;Techniciens, agriculture et élevage
4;3143;Techniciens, sylviculture
3;3150;Contrôleurs et techniciens du transport maritime, fluvial ou aérien
4;3151;Officiers mécaniciens de bateaux
4;3152;Officiers de pont et pilotes
4;3153;Pilotes d'avions et assimilés
4;3154;Contrôleurs du trafic aérien
4;3155;Techniciens de la sécurité aérienne
2;3200;Professions intermédiaires de la santé
3;3210;Techniciens de la médecine et de la pharmacie
4;3211;Techniciens d'appareils électromédicaux
4;3212;Techniciens de laboratoire médical
4;3213;Techniciens et assistants pharmaciens et préparateurs en pharmacie
4;3214;Techniciens de prothèses médicales et dentaires
3;3220;Personnel infirmier et sages-femmes (niveau intermédiaire)
4;3221;Personnel infirmier (niveau intermédiaire)
4;3222;Sages-femmes (niveau intermédiaire)
3;3230;Praticiens des médecines traditionnelles et des médecines complémentaires
4;3230;Praticiens des médecines traditionnelles et des médecines complémentaires
3;3240;Techniciens et assistants vétérinaires
4;3240;Techniciens et assistants vétérinaires
3;3250;Autres professions intermédiaires de la santé
4;3251;Assistants et thérapeutes en médecine dentaire
4;3252;Techniciens de dossiers médicaux
4;3253;Agents de santé communautaire
4;3254;Opticiens
4;3255;Techniciens et assistants en physiothérapie
4;3256;Assistants médicaux
4;3257;Contrôleurs et assimilés, santé de l'environnement, santé au travail
4;3258;Ambulanciers
4;3259;Professions intermédiaires de la santé non classées ailleurs
2;3300;Professions intermédiaires, finance, vente et administration
3;3310;Professions intermédiaires de la finance et des mathématiques
4;3311;Courtiers en valeurs et cambistes
4;3312;Responsables des prêts
4;3313;Professions intermédiaires de la comptabilité
4;3314;Professions intermédiaires de la statistique, des mathématiques et assimilées
4;3315;Estimateurs et autres experts en évaluation
3;3320;Agents de vente et d'achat, courtiers
4;3321;Agents d'assurances
4;3322;Représentants et techniciens commerciaux
4;3323;Acheteurs
4;3324;Courtiers en marchandises
3;3330;Agents de services commerciaux
4;3331;Agents concessionnaires
4;3332;Organisateurs de conférences et d'événements
4;3333;Agents de placement et de recrutement de main-d'œuvre
4;3334;Agents immobiliers
4;3339;Agents de services commerciaux non classés ailleurs
3;3340;Secrétaires d'administration et secrétaires spécialisés
4;3341;Superviseurs, travail de bureau
4;3342;Secrétaires, services juridiques
4;3343;Secrétaires de direction 
4;3344;Secrétaires médicaux
3;3350;Professions intermédiaires de l'application de la loi et assimilées
4;3351;Contrôleurs des douanes et des frontières
4;3352;Contrôleurs des impôts
4;3353;Agents des services publics accordant des prestations sociales
4;3354;Agents des services publics accordant des permis et des licences
4;3355;Inspecteurs et enquêteurs de police
4;3359;Professions intermédiaires de l'application de la loi et assimilées non classées ailleurs
2;3400;Professions intermédiaires des services juridiques, des services sociaux et assimilés
3;3410;Professions intermédiaires des services juridiques, des services sociaux et des religions
4;3411;Professions juridiques intermédiaires et assimilées
4;3412;Professions intermédiaires du travail social
4;3413;Professions intermédiaires des religions
3;3420;Travailleurs du secteur des sports et des activités de remise en forme
4;3421;Athlètes et sportifs professionnels
4;3422;Arbitres, entraîneurs et moniteurs sportifs
4;3423;Moniteurs et animateurs de programmes, de loisirs et d'activités de remise en forme
3;3430;Professions intermédiaires de la culture, de la création artistique et des activités culinaires
4;3431;Photographes
4;3432;Décorateurs et designers d'intérieurs
4;3433;Techniciens de galeries d'art, de musées et de bibliothèques
4;3434;Chefs cuisiniers
4;3435;Autres professions intermédiaires de la culture et de la création artistique
2;3500;Techniciens de l'information et des communications
3;3510;Techniciens, maintenance et assistance aux utilisateurs des technologies de l'information et des communications
4;3511;Techniciens des technologies de l'information et des communications, maintenance
4;3512;Techniciens des technologies de l'information et des communications, assistance aux utilisateurs
4;3513;Techniciens, réseaux et systèmes informatiques
4;3514;Techniciens de l'internet
3;3520;Techniciens des télécommunications et de la radiodiffusion
4;3521;Techniciens de radiotélévision et d'enregistrement audiovisuel
4;3522;Techniciens des télécommunications
1;4000;Employés de type administratif
