"code_sect_activite","libelle_sect_activite","code_ss_sect_activite","libelle_ss_sect_activite","code_ogr_rome","code_rome","libelle_rome","principal"
"110","Activités juridiques et comptables","145","Activités juridiques","519689","C1507","Chargé / Chargée de recouvrement immobilier","non"
"110","Activités juridiques et comptables","145","Activités juridiques","519152","H1310","Responsable sécurité sanitaire en agroalimentaire","non"
"110","Activités juridiques et comptables","145","Activités juridiques","488284","H1509","Responsable des affaires règlementaires en industrie pharmaceutique","non"
"110","Activités juridiques et comptables","145","Activités juridiques","365","K1102","Mandataire judiciaire à la protection des majeurs (MJPM)","non"
"110","Activités juridiques et comptables","145","Activités juridiques","509707","K1110","Tuteur / Tutrice aux majeurs protégés","non"
"110","Activités juridiques et comptables","145","Activités juridiques","510287","K1412","Chargé / Chargée de mission aux relations internationales","non"
"110","Activités juridiques et comptables","145","Activités juridiques","400","K1901","Notaire","non"
"110","Activités juridiques et comptables","145","Activités juridiques","401","K1902","Clerc de notaire","non"
"110","Activités juridiques et comptables","145","Activités juridiques","402","K1903","Juriste","non"
"110","Activités juridiques et comptables","145","Activités juridiques","403","K1904","Juge","non"
"110","Activités juridiques et comptables","145","Activités juridiques","488574","K1905","Huissier / Huissière de justice","non"
"110","Activités juridiques et comptables","145","Activités juridiques","488602","K1906","Délégué / Déléguée à la protection des données - Data Protection Officer","non"
"110","Activités juridiques et comptables","145","Activités juridiques","489169","K1908","Responsable de service contentieux et recouvrement","non"
"110","Activités juridiques et comptables","145","Activités juridiques","510190","K1909","Greffier / Greffière","non"
"110","Activités juridiques et comptables","145","Activités juridiques","510013","K1910","Commissaire à la Cour des comptes","non"
"110","Activités juridiques et comptables","145","Activités juridiques","509350","K1911","Fiscaliste","non"
"110","Activités juridiques et comptables","145","Activités juridiques","515381","K1912","Formaliste","non"
"110","Activités juridiques et comptables","145","Activités juridiques","510262","K1913","Médiateur / Médiatrice judiciaire","non"
"110","Activités juridiques et comptables","145","Activités juridiques","509909","K1914","Responsable de service juridique","non"
"110","Activités juridiques et comptables","145","Activités juridiques","510042","K1915","Avocat / Avocate","non"
