"code_theme","libelle_theme","code_ogr_rome","code_rome","libelle_rome"
"001","Métiers de l'environnement et du développement durable","6","A1101","Conducteur / Conductrice d'engins agricoles"
"001","Métiers de l'environnement et du développement durable","403950","A1102","Conducteur / Conductrice d'engins d'exploitation forestière"
"001","Métiers de l'environnement et du développement durable","7","A1201","Bûcheron / Bûcheronne"
"001","Métiers de l'environnement et du développement durable","8","A1202","Ouvrier / Ouvrière d'entretien des espaces naturels"
"001","Métiers de l'environnement et du développement durable","9","A1203","Agent / Agente d'entretien des espaces verts"
"001","Métiers de l'environnement et du développement durable","10","A1204","Garde nature"
"001","Métiers de l'environnement et du développement durable","11","A1205","Sylviculteur / Sylvicultrice"
"001","Métiers de l'environnement et du développement durable","488634","A1206","Concepteur / Conceptrice paysagiste"
"001","Métiers de l'environnement et du développement durable","488640","A1207","Chef / Cheffe d'équipe de travaux de milieux naturels"
"001","Métiers de l'environnement et du développement durable","488734","A1208","Jardinier / Jardinière paysagiste"
"001","Métiers de l'environnement et du développement durable","488755","A1209","Elagueur / Elagueuse"
"001","Métiers de l'environnement et du développement durable","488859","A1210","Ouvrier forestier / Ouvrière forestière"
"001","Métiers de l'environnement et du développement durable","489042","A1211","Chef / Cheffe d'équipe paysagiste"
"001","Métiers de l'environnement et du développement durable","489058","A1212","Chef / Cheffe d'équipe de travaux forestiers"
"001","Métiers de l'environnement et du développement durable","489160","A1213","Conducteur / Conductrice de travaux forestiers"
"001","Métiers de l'environnement et du développement durable","510256","A1214","Patrouilleur modeleur / Patrouilleuse modeleuse VTT"
"001","Métiers de l'environnement et du développement durable","515382","A1215","Agent / Agente d'aires marines protégées"
"001","Métiers de l'environnement et du développement durable","515388","A1216","Responsable de site naturel protégé"
"001","Métiers de l'environnement et du développement durable","515396","A1217","Responsable de gardes nature"
"001","Métiers de l'environnement et du développement durable","515423","A1218","Conducteur / Conductrice de travaux de milieux naturels"
"001","Métiers de l'environnement et du développement durable","515460","A1219","Directeur / Directrice espaces verts et biodiversité"
"001","Métiers de l'environnement et du développement durable","521036","A1221","Conducteur / Conductrice de travaux paysagers"
"001","Métiers de l'environnement et du développement durable","12","A1301","Technicien / Technicienne en agriculture"
"001","Métiers de l'environnement et du développement durable","14","A1303","Ingénieur / Ingénieure d'études et de recherche agricoles"
"001","Métiers de l'environnement et du développement durable","403951","A1304","Conseiller / Conseillère technique agricole"
"001","Métiers de l'environnement et du développement durable","509636","A1306","Chargé / Chargée d'étude naturaliste"
"001","Métiers de l'environnement et du développement durable","509640","A1307","Ingénieur forestier / Ingénieure forestière"
"001","Métiers de l'environnement et du développement durable","510022","A1310","Technicien / Technicienne de production animale"
"001","Métiers de l'environnement et du développement durable","510154","A1311","Technicien forestier / Technicienne forestière"
"001","Métiers de l'environnement et du développement durable","510270","A1312","Directeur / Directrice environnement"
"001","Métiers de l'environnement et du développement durable","510436","A1313","Chargé / Chargée de mission environnement"
"001","Métiers de l'environnement et du développement durable","515384","A1314","Halieute"
"001","Métiers de l'environnement et du développement durable","515385","A1315","Technicien / Technicienne naturaliste"
"001","Métiers de l'environnement et du développement durable","515387","A1316","Chargé / Chargée de conservation ex-situ"
"001","Métiers de l'environnement et du développement durable","515409","A1317","Gestionnaire d'aires marines protégées"
"001","Métiers de l'environnement et du développement durable","515431","A1318","Technicien / Technicienne de travaux de gestion de milieu naturel"
"001","Métiers de l'environnement et du développement durable","515440","A1319","Ingénieur / Ingénieure écologue"
"001","Métiers de l'environnement et du développement durable","515445","A1320","Technicien en foncier rural / Technicienne en foncier rural"
"001","Métiers de l'environnement et du développement durable","515455","A1321","Chargé / Chargée de mission thématique durable"
