"code_rome","riasec_majeur","riasec_mineur"
"A1101","R",""
"A1102","R",""
"A1201","R","C"
"A1202","R",""
"A1203","R",""
"A1204","R","I"
"A1205","R","C"
"A1206","R","A"
"A1207","R","C"
"A1208","R","A"
"A1209","R",""
"A1210","R",""
"A1211","R",""
"A1212","R","E"
"A1213","C","R"
"A1214","R",""
"A1215","C","R"
"A1216","C","R"
"A1217","C","R"
"A1218","E","R"
"A1219","E","R"
"A1220","R",""
"A1221","R","E"
"A1301","C","R"
"A1302","C","R"
"A1303","I","C"
"A1304","C","S"
"A1305","I","R"
"A1306","I","C"
"A1307","I","E"
"A1308","R","C"
"A1309","R","C"
"A1310","R","C"
"A1311","R","I"
"A1312","I","E"
"A1313","I","E"
"A1314","I","C"
"A1315","I","C"
"A1316","I","C"
"A1317","I","C"
"A1318","R","C"
"A1319","I","C"
"A1320","C",""
"A1321","E","C"
"A1322","I","R"
"A1323","I","C"
"A1324","I","R"
"A1325","C","I"
"A1401","R",""
"A1402","R","C"
"A1403","R",""
"A1404","R","C"
"A1405","R","C"
"A1406","E","R"
"A1407","R","C"
"A1408","R",""
"A1409","R","C"
"A1410","R","C"
"A1411","R","C"
"A1412","R","C"
"A1413","R","C"
"A1414","R","C"
"A1415","R","C"
"A1416","R","C"
"A1417","R","C"
"A1418","R","E"
"A1419","R",""
"A1420","R","E"
"A1421","R",""
"A1422","R","C"
"A1423","R","C"
"A1424","R","C"
"A1425","R",""
"A1426","R","S"
"A1427","R","C"
"A1428","R","C"
"A1429","R","C"
"A1430","R","C"
"A1431","R","C"
"A1432","R",""
"A1433","R","E"
"A1434","R",""
"A1435","R","E"
"A1436","R","C"
"A1437","R","C"
"A1438","R",""
"A1439","R","E"
"A1440","R",""
"A1441","R","C"
"A1442","R","E"
"A1443","R",""
"A1444","R",""
"A1445","R",""
"A1446","R","C"
"A1447","R","C"
"A1501","R","I"
"A1502","R","I"
"A1503","R","C"
"A1504","I","R"
"A1505","R","I"
"A1506","R","C"
"A1507","I","R"
"A1508","R",""
"A1509","I","S"
"A1510","R",""
"A1511","R","S"
"A1512","I","R"
"B1101","A","R"
"B1102","A","R"
"B1103","A","R"
"B1104","A","R"
"B1201","A","R"
"B1301","A","R"
"B1302","A","R"
"B1303","A","R"
"B1304","A","R"
"B1401","A","R"
"B1402","A","R"
"B1403","A","R"
"B1404","R","A"
"B1501","R","A"
"B1502","R","A"
"B1503","R","A"
"B1504","R","A"
"B1505","R","A"
"B1601","A","R"
"B1602","A","R"
"B1603","A","R"
"B1604","R","I"
"B1605","R","A"
"B1606","R","A"
"B1607","R","A"
"B1608","R","A"
"B1609","E","R"
"B1610","R","A"
"B1611","R","A"
"B1612","R","A"
"B1613","R","A"
"B1614","A","R"
"B1615","R","A"
"B1616","R","I"
"B1617","R","A"
"B1618","A","R"
"B1701","R","A"
"B1702","I","R"
"B1801","R","A"
"B1802","R","A"
"B1803","R","A"
"B1804","A","R"
"B1805","A","E"
"B1806","R","A"
"B1807","A","E"
"B1808","A","E"
"B1809","R","A"
"B1810","R","A"
"B1811","R",""
"B1812","A","R"
"B1813","R","A"
"B1814","A","E"
"B1815","R","C"
"B1816","R","A"
"C1101","C","E"
"C1102","C","E"
"C1103","C","E"
"C1104","E","C"
"C1105","C","I"
"C1106","C","I"
"C1107","C","I"
"C1108","C","E"
"C1109","C","S"
"C1110","C","E"
"C1111","C","E"
"C1112","C","E"
"C1113","C","I"
"C1114","C",""
"C1115","S","C"
"C1116","C","E"
"C1117","E","C"
"C1118","E","C"
"C1119","E","C"
"C1120","C","I"
"C1121","C","I"
"C1122","C","I"
"C1123","C","E"
"C1124","C","S"
"C1125","C","E"
"C1126","C","I"
"C1127","C","I"
"C1128","C","I"
"C1129","C","E"
"C1130","C","S"
"C1201","C","S"
"C1202","C","E"
"C1203","E","C"
"C1204","E","C"
"C1205","C","S"
"C1206","E","C"
"C1207","C","E"
"C1208","C","E"
"C1209","C",""
"C1210","C","E"
"C1211","C","S"
"C1212","C","S"
"C1213","C","E"
"C1214","C",""
"C1215","C",""
"C1216","C","I"
"C1217","C","E"
"C1301","C","E"
"C1302","C","E"
"C1303","C","E"
"C1304","C",""
"C1305","C","I"
"C1306","C","E"
"C1401","C","S"
"C1402","C","S"
"C1403","C","I"
"C1501","E","C"
"C1502","C","E"
"C1503","E","C"
"C1504","E","C"
"C1505","E","C"
"C1506","E","C"
"C1507","C",""
"C1508","C",""
"D1101","R",""
"D1102","R",""
"D1103","R",""
"D1104","R",""
"D1105","R",""
"D1106","C","E"
"D1107","C","E"
"D1108","E","R"
"D1109","R","C"
"D1110","E","S"
"D1111","R","E"
"D1112","R","E"
