"code_sect_activite","libelle_sect_activite","definition_sect_activite"
"110","Activités juridiques et comptables","Découvrez les métiers juridiques et comptables où la précision et la rigueur sont les maîtres-mots.

Indispensable pour beaucoup d'organisations, les métiers des activités juridiques et de la comptabilité ont beaucoup évolué ces dernières années. La transformation numérique et l'automatisation des tâches ont redonné un nouveau souffle à ce secteur, qui attire de plus en plus les jeunes diplômés. Ces emplois offrent la possibilité de devenir des partenaires clés au sein des entreprises, fournissant des conseils juridiques, fiscaux et comptables.
Explorez les métiers de l'audit financier, la magistrature ou le conseil juridique pour des carrières enrichissantes."

"79","Agriculture et élevage","Nourrir la population tout en préservant l'environnement : tel est le défi majeur du secteur agriculture et élevage.

Ce secteur en mutation regroupe les activités de production végétale et animale, essentielles pour assurer la sécurité alimentaire du pays. Les opportunités évoluent pour répondre à la demande croissante en produits alimentaires tout en réduisant l'impact environnemental de l'agriculture et adapter les pratiques agricoles aux changements climatiques.
Explorez les métiers de l'agriculture et de l'élevage pour la production, des techniciens et ingénieurs qui apportent leur expertise aux agriculteurs, conçoivent et mettent en œuvre des solutions innovantes pour optimiser les productions agricoles."

"98","Architecture, études et normes","Garantir la conformité et la fiabilité des structures, des espaces et des produits ou processus industriels grâce aux métiers de l'architecture et des études

Le secteur architecture et études regroupe des professionnels qui imaginent, conçoivent des bâtiments, des infrastructures et des espaces urbains durables, fonctionnels et esthétiques, mais aussi des professionnels qui mettent en œuvre des stratégies, des méthodes et des outils pour contrôler, mesurer et améliorer la qualité à toutes les étapes du cycle de vie d'un projet, depuis sa conception jusqu'à sa commercialisation et son recyclage.
Explorez les métiers de l'architecture, des études et normes pour répondre aux attentes de qualité, de durabilité et de protection des biens et personnes."

"87","Artisanat d'art, audiovisuel et spectacle","Créer, fabriquer et faire vivre des émotions : voilà ce qui rassemble les métiers de l'artisanat d'art, de l'audiovisuel et du spectacle.

Ce secteur regroupe des professionnels aux profils variés, des artisans qui fabriquent des objets uniques aux équipes techniques et artistiques qui conçoivent films, spectacles et contenus visuels. Il mêle savoir-faire traditionnels, création et outils numériques. Les métiers évoluent pour s'adapter aux nouvelles formes de production et aux attentes du public, offrant de nombreuses opportunités à celles et ceux qui souhaitent travailler dans la création, la fabrication ou la mise en scène."

"95","Automobile","Découvrez les opportunités du secteur automobile où l'innovation s'accélère

Le secteur de l'automobile regroupe les professionnels qui imaginent, conçoivent, réalisent, vendent et réparent tout type de véhicules. La mutation du secteur automobile offre de nouvelles opportunités pour imaginer les véhicules du futur intelligents et connectés.
Explorez les métiers de l'automobile pour contribuer à la mobilité de demain."

