gold,label_a,label_b,relation,confidence,source_a,source_b,entity_id_a,entity_id_b,method
1,Architecte cloud,architecte cloud,skos:exactMatch,0.985,ROME,ESCO,OCC_8545ea52f78d,OCC_96b5d34f1d58,exact_label:preferred~preferred+emb
1,Administrateur / Administratrice sécurité informatique,administrateur sécurité informatique/administratrice sécurité informatique,skos:exactMatch,0.964,ROME,ESCO,OCC_6d24adb3285c,OCC_a0cecf937326,embeddings
1,développeur web/développeuse web,Développeur / Développeuse web,skos:exactMatch,0.951,ESCO,ROME,OCC_3b83c3012cf7,OCC_c506a18083b7,embeddings
1,ingénieur/ingénieure de données,Data engineer,skos:exactMatch,0.929,ESCO,ROME,OCC_7d1a8b2ea390,OCC_903f27875082,embeddings
1,analyste de système informatique,Analyste d'étude informatique,skos:exactMatch,0.914,ESCO,ROME,OCC_20596f0afee7,OCC_5fafb471f4aa,embeddings
1,technicien informatique/technicienne informatique,Technicien / Technicienne d'exploitation informatique,skos:exactMatch,0.906,ESCO,ROME,OCC_14d19ed15436,OCC_1ce0e8031f25,embeddings
1,Analyste d'application informatique,analyste de système informatique,skos:exactMatch,0.905,ROME,ESCO,OCC_085a2958b6aa,OCC_20596f0afee7,embeddings
1,Développeur / Développeuse - jeux vidéo,développeur de jeux numériques/développeuse de jeux numériques,skos:closeMatch,0.897,ROME,ESCO,OCC_2f27eb2177cc,OCC_554c5e421f89,embeddings
0,technicien informatique/technicienne informatique,Ingénieur informaticien / Ingénieure informaticienne,skos:closeMatch,0.897,ESCO,ROME,OCC_14d19ed15436,OCC_e02a62ee28e8,embeddings
0,analyste logiciel,Expert / Experte systèmes et réseaux informatiques,skos:closeMatch,0.89,ESCO,ROME,OCC_6b1c7257ba1b,OCC_c44a9eaae6e7,exact_label:alt~alt
1,scientifique des données,Data engineer,skos:closeMatch,0.89,ESCO,ROME,OCC_7bde92a813dd,OCC_903f27875082,exact_label:alt~alt
1,responsable de la sécurité des TIC,Responsable de la Sécurité des Systèmes d'Information (RSSI),skos:closeMatch,0.89,ESCO,ROME,OCC_3ea9dcd66347,OCC_563c9ee7ae68,exact_label:alt~alt+emb
1,technicien en sécurité informatique/technicienne en sécurité informatique,Responsable de la Sécurité des Systèmes d'Information (RSSI),skos:closeMatch,0.89,ESCO,ROME,OCC_47b1b32e81f9,OCC_563c9ee7ae68,exact_label:alt~alt
1,Architecte cloud,ingénieur en informatique en nuage/ingénieure en informatique en nuage,skos:closeMatch,0.89,ROME,ESCO,OCC_8545ea52f78d,OCC_ff4e73f258e8,exact_label:alt~preferred
0,gestionnaire des modifications et de la configuration des TIC,Ingénieur / Ingénieure DevOps,skos:closeMatch,0.89,ESCO,ROME,OCC_b12363d00856,OCC_eab9b08d024c,exact_label:alt~alt
1,ingénieur DevOps cloud/ingénieure DevOps cloud,Ingénieur / Ingénieure DevOps,skos:closeMatch,0.89,ESCO,ROME,OCC_c79207b250ca,OCC_eab9b08d024c,exact_label:alt~alt+emb
1,analyste qualité des données,Data engineer,skos:closeMatch,0.89,ESCO,ROME,OCC_7c028d934ec6,OCC_903f27875082,exact_label:preferred~alt
1,Gestionnaire de base de données,administrateur de base de données/administratrice de base de données,skos:closeMatch,0.89,ROME,ESCO,OCC_164e408e096f,OCC_759562b3dd51,exact_label:alt~preferred+emb
1,Ingénieur / Ingénieure d'étude informatique,concepteur de logiciels/conceptrice de logiciels,skos:closeMatch,0.89,ROME,ESCO,OCC_050f179f19d8,OCC_fa1704d164c5,exact_label:alt~alt
1,webmestre,Administrateur / Administratrice de site internet,skos:closeMatch,0.89,ESCO,ROME,OCC_1cd71aaf46fd,OCC_53745b14cb87,exact_label:alt~alt
0,analyste d’étude en TIC,Analyste d'affaires,skos:closeMatch,0.89,ESCO,REMOTEOK,OCC_0a3ba0a2e348,OCC_d9115408ab56,exact_label:alt~preferred
1,analyste d’étude en TIC,Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information,skos:closeMatch,0.89,ESCO,ROME,OCC_0a3ba0a2e348,OCC_2088e2ac84a9,exact_label:alt~alt
1,Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information,Analyste d'affaires,skos:closeMatch,0.89,ROME,REMOTEOK,OCC_2088e2ac84a9,OCC_d9115408ab56,exact_label:alt~alt
1,informaticien/informaticienne,Ingénieur informaticien / Ingénieure informaticienne,skos:closeMatch,0.888,ESCO,ROME,OCC_727ec0d8350c,OCC_e02a62ee28e8,embeddings
1,Analyste d'application informatique,analyste logiciel,skos:closeMatch,0.886,ROME,ESCO,OCC_085a2958b6aa,OCC_6b1c7257ba1b,embeddings
1,Intégrateur / Intégratrice logiciels métiers,concepteur de logiciels/conceptrice de logiciels,skos:closeMatch,0.884,ROME,ESCO,OCC_22a265df20e2,OCC_fa1704d164c5,embeddings
1,Gestionnaire de base de données,concepteur de bases de données /conceptrice de bases de données,skos:closeMatch,0.883,ROME,ESCO,OCC_164e408e096f,OCC_65014a542c78,embeddings
1,Ingénieur informaticien / Ingénieure informaticienne,technicien de réseau informatique/technicienne de réseau informatique,skos:closeMatch,0.876,ROME,ESCO,OCC_e02a62ee28e8,OCC_f609b6bc11bf,embeddings
1,Ingénieur / Ingénieure d'étude informatique,informaticien/informaticienne,skos:closeMatch,0.868,ROME,ESCO,OCC_050f179f19d8,OCC_727ec0d8350c,embeddings
1,Intégrateur / Intégratrice logiciels métiers,développeur de logiciels/développeuse de logiciels,skos:closeMatch,0.866,ROME,ESCO,OCC_22a265df20e2,OCC_e57061351bc6,embeddings
1,technicien en sécurité informatique/technicienne en sécurité informatique,Technicien / Technicienne en cybersécurité,skos:closeMatch,0.862,ESCO,ROME,OCC_47b1b32e81f9,OCC_7f18f2f19e2a,embeddings
1,Technicien / Technicienne réseaux informatiques et télécoms,technicien de réseau informatique/technicienne de réseau informatique,skos:closeMatch,0.862,ROME,ESCO,OCC_940b6385dcd1,OCC_f609b6bc11bf,embeddings
1,Spécialiste test et validation logiciel ou application,testeur de logiciels/testeuse de logiciels,skos:closeMatch,0.861,ROME,ESCO,OCC_2523d083789d,OCC_3e502e92822a,embeddings
1,Administrateur / Administratrice de site internet,administrateur de contenu web/administratrice de contenu web,skos:closeMatch,0.854,ROME,ESCO,OCC_53745b14cb87,OCC_aa3336017d8a,embeddings
0,technicien informatique/technicienne informatique,Ingénieur concepteur / Ingénieure conceptrice informatique,skos:closeMatch,0.851,ESCO,ROME,OCC_14d19ed15436,OCC_286d9da07b4d,embeddings
1,Architecte systèmes et réseaux,architecte de réseau,skos:closeMatch,0.847,ROME,ESCO,OCC_21715cbb5d2f,OCC_bd1d7a63edf2,embeddings
1,administrateur de réseau informatique/administratrice de réseau informatique,Administrateur / Administratrice réseaux - télécoms,skos:closeMatch,0.841,ESCO,ROME,OCC_07647950ddea,OCC_8a0009547b60,embeddings
1,concepteur de bases de données /conceptrice de bases de données,Architecte base de données,skos:closeMatch,0.838,ESCO,ROME,OCC_65014a542c78,OCC_9e721c3b1a5c,embeddings
1,Développeur / Développeuse informatique,développeur de logiciels/développeuse de logiciels,skos:closeMatch,0.836,ROME,ESCO,OCC_4243894cf004,OCC_e57061351bc6,embeddings
1,développeur IoT/développeuse IoT,Architecte IoT - Internet des Objets,skos:closeMatch,0.83,ESCO,ROME,OCC_af0b4023ea6c,OCC_afe0af7ee789,embeddings
1,Développeur / Développeuse logiciel ou d'application,développeur de logiciels/développeuse de logiciels,skos:closeMatch,0.829,ROME,ESCO,OCC_d6a2ea4adc66,OCC_e57061351bc6,embeddings
1,Expert / Experte en cybersécurité,gestionnaire des risques en cybersécurité,skos:closeMatch,0.828,ROME,ESCO,OCC_4def1bedc140,OCC_9113c1374afd,embeddings
1,développeur/développeuse de logiciels cloud,Ingénieur / Ingénieure Cloud computing,skos:closeMatch,0.826,ESCO,ROME,OCC_02a46f9d3b88,OCC_5a5307f6b57c,embeddings
0,administrateur de systèmes informatiques/administratrice de systèmes informatiques,Administrateur / Administratrice sécurité informatique,skos:closeMatch,0.823,ESCO,ROME,OCC_6cb6d62106d9,OCC_6d24adb3285c,embeddings
1,Jeune diplômé(e) - Data Scientist,scientifique des données,skos:closeMatch,0.821,REMOTEOK,ESCO,OCC_7781415f8e03,OCC_7bde92a813dd,embeddings
1,ingénieur de réseaux informatiques/ingénieure de réseaux informatiques,Ingénieur informaticien / Ingénieure informaticienne,skos:closeMatch,0.82,ESCO,ROME,OCC_6836ed031e87,OCC_e02a62ee28e8,embeddings
1,Intégrateur / Intégratrice logiciels métiers,concepteur de logiciels d’application/conceptrice de logiciels d’application,skos:closeMatch,0.811,ROME,ESCO,OCC_22a265df20e2,OCC_cd04c9fb1a40,embeddings
1,développeur de base de données/développeuse de base de données,Architecte base de données,skos:closeMatch,0.809,ESCO,ROME,OCC_11d84dbfc1bc,OCC_9e721c3b1a5c,embeddings
1,Analyste de données - Secteur de la santé,analyste de données,skos:closeMatch,0.805,REMOTEOK,ESCO,OCC_c2f30bbdb638,OCC_ccd1a82716dc,embeddings
1,administrateur de réseau informatique/administratrice de réseau informatique,Administrateur / Administratrice de serveurs,skos:closeMatch,0.804,ESCO,ROME,OCC_07647950ddea,OCC_0dfd1568b513,embeddings
1,Intégrateur / Intégratrice logiciels métiers,développeur de logiciels pour systèmes informatiques intégrés/développeuse de logiciels pour systèmes informatiques intégrés,skos:closeMatch,0.803,ROME,ESCO,OCC_22a265df20e2,OCC_47055aec8572,embeddings
0,consultant informatique/consultante informatique,Consultant / Consultante avant-vente,skos:closeMatch,0.803,ESCO,ROME,OCC_30549a5affd9,OCC_3dd25c7bc53e,embeddings
1,Analyste de données - Excel,analyste de données,skos:closeMatch,0.802,REMOTEOK,ESCO,OCC_4000ceec52ad,OCC_ccd1a82716dc,embeddings
1,Data engineer,concepteur d’entrepôt de données/conceptrice d’entrepôt de données,skos:closeMatch,0.799,ROME,ESCO,OCC_903f27875082,OCC_c7ddb7ad3c99,embeddings
1,responsable de l’audit informatique,Responsable des études et applications informatiques,skos:closeMatch,0.799,ESCO,ROME,OCC_65c02430a9d6,OCC_e16c45181fb8,embeddings
1,analyste d’étude en TIC,Analyste d'étude informatique,skos:closeMatch,0.798,ESCO,ROME,OCC_0a3ba0a2e348,OCC_5fafb471f4aa,embeddings
1,Développeur / Développeuse informatique,développeur de systèmes informatiques/développeuse de systèmes informatiques,skos:closeMatch,0.796,ROME,ESCO,OCC_4243894cf004,OCC_a1ea51659e23,embeddings
1,Ingénieur / Ingénieure d'étude informatique,analyste-testeur informatique/analyste-testeuse informatique,skos:closeMatch,0.795,ROME,ESCO,OCC_050f179f19d8,OCC_1fbb1e6392b6,embeddings
1,Analyste d'étude informatique,analyste de données,skos:closeMatch,0.795,ROME,ESCO,OCC_5fafb471f4aa,OCC_ccd1a82716dc,embeddings
0,technicien en sécurité informatique/technicienne en sécurité informatique,Architecte sécurité informatique,skos:closeMatch,0.795,ESCO,ROME,OCC_47b1b32e81f9,OCC_8d1f9f4c93ee,embeddings
