canonical_id,primary_label_en,primary_label_fr,alt_labels_en,alt_labels_fr,isco_code,occupation_type,sources,member_entity_ids
CANO_e3fddf215e47,ICT security administrator,administrateur sécurité informatique/administratrice sécurité informatique,CISO | IT security administrator | information security administrator | ICT security administrators | network security administrator | system security administrator,responsable de la sécurité des technologies de l'information et de la communication | responsable de la sécurité des TIC | directrice de la sécurité de la technologie de l'information et de la communication | administratrice sécurité informatique | gestionnaire sécurité informatique | directeur de la sécurité de la technologie de l'information et de la communication | administrateur sécurité informatique | directeur de la sécurité TIC | responsable de l'administration de sécurité informatique | directeur de la sécurité informatique | directrice de la sécurité informatique | directrice de la sécurité TIC,2529,canonical_occupation,ESCO,OCC_a0cecf937326
CANO_66a1790ba933,software analyst,analyste logiciel,software requirement analyst | programming analyst | software analysts | programmer analyst | application analyst | software requirements analyst | analyst of software,analyste informatique | analyste de logiciels | analyste d'applications | analyste software,2512,canonical_occupation,ESCO,OCC_6b1c7257ba1b
CANO_5625605ea47c,performance video operator,opérateur vidéo/opératrice vidéo,live video operator | projection operator | video and graphics operator | video projection operator | visuals operator | video projection technician | visual and graphic operator | visual projection operator | video and graphics technician | video operator,opératrice vidéo | opérateur vidéo,3521,canonical_occupation,ESCO,OCC_d1c91c3f5320
CANO_8dbbe0111cd8,integration engineer,ingénieur intégration/ingénieure intégration,IT integration engineer | ICT integration engineers | system integration engineer | software integration engineer,ingénieur informatique | ingénieure intégration | ingénieur intégration des technologies de l'information et de la communication | ingénieur intégration des TIC | ingénieure intégration des technologies de l'information et de la communication | ingénieure informatique | ingénieur intégration | ingénieure intégration des TIC,2511,canonical_occupation,ESCO,OCC_535421ae1e2c
CANO_b8caec9ae4d1,search engine optimisation expert,spécialiste de l’optimisation des moteurs de recherche,search engine optimisation experts | search engine optimization expert | search engine optimisation specialist | search engine optimiser | SEO expert | SEO specialist | inbound marketer | growth hacker | search engine marketing specialist | search engine optimisation consultant | SEO experts,experte de l'optimisation des moteurs de recherche | conseiller en optimisation des moteurs de recherche | spécialiste optimisation de moteurs de recherche | conseillère en optimisation des moteurs de recherche | expert de l'optimisation des moteurs de recherche,2513,canonical_occupation,ESCO,OCC_0ee16ac6947b
CANO_1300295236e5,ICT test analyst,analyste-testeur informatique/analyste-testeuse informatique,IT test analyst | test designer,analyste-testeur informatique | analyste-testeur en informatique | analyste-testeuse en informatique | analyste-testeur en informatique/analyste-testeuse en informatique | analyste-testeuse informatique,2519,canonical_occupation,ESCO,OCC_1fbb1e6392b6
CANO_7e83bf58927e,digital forensics expert,spécialiste de l’investigation numérique,computer forensics consultant | computer forensics investigator | computer forensics expert | digital forensics analyst | digital forensics specialist | digital forensics experts | ICT forensics expert | digital forensic expert | cyber forensics expert | cybersecurity analyst | information forensics expert | cybersecurity and forensic specialist,spécialiste de la cybersécurité et de la criminalistique | expert en investigation numérique | professionnel l'investigation numérique | professionnel de l'investigation informatique | spécialiste en cybersécurité et en criminalistique | consultant en informatique légale | spécialiste de l'investigation informatique | professionnelle de l'investigation informatique | professionnelle de l'investigation numérique,2529,canonical_occupation,ESCO,OCC_46b37f0135cb
CANO_1d03457ea9c5,cyber incident responder,analyste réponse aux incidents de sécurité,ICT security consultant | cyber crisis expert | information technology security consultant | security operations center analyst | cyber incident handler | information communications technology security consultant | cyber fighter | IT security expert | incident response engineer | ICT security engineer | cybersecurity SIEM manager | ICT security advisor | IT security advisor | security architect | security operation analyst | SOC Analyst | consultant in ICT security activities | cyber defender | IT security consultant | ICT security architect,conseiller sur la sécurité des technologies de l'information et de la communication | conseillère sur la sécurité des TIC | conseillère sur la sécurité des technologies de l'information et de la communication | consultante en sécurité informatique | consultante en sécurité des TIC | consultant en sécurité informatique | conseillère en sécurité informatique | consultante en sécurité des technologies de l'information et de la communication | consultant en sécurité des TIC | conseiller sur la sécurité des TIC | conseiller en sécurité informatique | consultant en sécurité des technologies de l'information et de la communication,2529,canonical_occupation,ESCO,OCC_8b508c20ce1d
CANO_133d5fecaede,sound operator,opérateur du son/opératrice du son,sound board operator | sound mixer | audio board operator | sound board technician | audio operator | sound audio technician,opératrice du son | opérateur du son | chef opératrice du son | sonorisateur | chef opérateur du son | sonorisatrice | cheffe opératrice du son,3521,canonical_occupation,ESCO,OCC_6dc1b627155d
CANO_b7ca379cfdb0,ICT disaster recovery analyst,analyste de la reprise des activités informatiques,business continuity analyst | ICT resilience analysts | IT resilience analyst | IT disaster recovery analyst | business continuity strategist | disaster recovery officer,analyste de la résistance informatique | analyste de la résilience TIC | analyste de la résilience des technologies de l'information et de la communication | analyste risque opérationnel et résilience informatique,2519,canonical_occupation,ESCO,OCC_cbee4548194c
CANO_bdb07d56a94b,embedded system designer,concepteur de systèmes informatiques intégrés/conceptrice de systèmes informatiques intégrés,embedded system programmer | embedded systems designers | embedded software developer | embedded system developer | embedded systems programmer | battery controls engineer | embedded systems developer | embedded systems engineer,conceptrice de systèmes imbriqués | concepteur de systèmes informatiques intégrés à l'équipement | concepteur de systèmes incorporés | conceptrice de systèmes incorporés | ingénieur de contrôle de batterie | ingénieur en contrôle de batterie | concepteur de systèmes informatiques intégrés | concepteur informatique intégré | conceptrice de systèmes emboîtés | concepteur de systèmes emboîtés | conceptrice de systèmes informatiques intégrés | conceptrice informatique intégré | concepteur de systèmes imbriqués | conceptrice de systèmes informatiques intégrés à l'équipement,2511,canonical_occupation,ESCO,OCC_89f4b0de8aeb
CANO_9b38722f3b0b,software tester,testeur de logiciels/testeuse de logiciels,module tester | application tester | soft tester | application software tester | software testing specialist | unit tester | software testers | software application tester | tester,testeuse d'applications | testeur d'applications | testeuse de logiciels | testeuse de logiciels d'application | testeur de logiciels d'application | testeur de logiciels,2519,canonical_occupation,ESCO,OCC_3e502e92822a
CANO_9f4469f34da0,ICT help desk manager,responsable du service d’assistance informatique,software support manager | ICT helpdesk managers | IT helpdesk manager | ICT service desk manager | ICT help desk managers | IT help desk manager | technical support manager | ICT helpdesk manager,responsable du service d'assistance en technologies de l'information et de la communication | responsable du service d'assistance en TIC | responsable help desk informatique | responsable du service d'aide aux utilisateurs,3512,canonical_occupation,ESCO,OCC_127c8b092532
CANO_3facf15f4d71,data warehouse designer,concepteur d’entrepôt de données/conceptrice d’entrepôt de données,data warehouse architect | data warehouse developer,conceptrice d'entrepôt de données | concepteur d'entrepôt de données,2521,canonical_occupation,ESCO,OCC_c7ddb7ad3c99
CANO_0df85846acab,computer vision engineer,ingénieur en vision par ordinateur/ingénieure en vision par ordinateur,computer vision applied scientist | computer vision expert | computer vision specialist | computer vision project engineer | smart technics computer vision engineer,expert en vision par ordinateur | scientifique appliquée en vision par ordinateur | spécialiste de la vision par ordinateur | experte en vision par ordinateur,2511,canonical_occupation,ESCO,OCC_991dd4068ca0
