canonical_id,primary_label_en,primary_label_fr,alt_labels_en,alt_labels_fr,hard_soft,it_subtype,sources,member_entity_ids
CANS_962df05a8274,Haskell,Haskell,Haskell techniques,,hard,developpement_conception,ESCO | ONET,SKL_3e8275119d50 | SKL_e073f69611e9
CANS_08254f7f698f,draft scientific or academic papers and technical documentation,rédiger des documents scientifiques ou articles universitaires et des documents techniques,create technical documentation | create technical documentation and academic writings | write technical documentation | write scientific and academic papers,,hard,autre_hard,ESCO,SKL_3f9f22b21c7f
CANS_bbfc2e3a9811,incremental development,développement par incréments,gradual development,,hard,developpement_conception,ESCO,SKL_c4640fe55575
CANS_b0d221cd031d,guarantee customer satisfaction,garantir la satisfaction des clients,ensure customer satisfaction | promise customer satisfaction | customer satisfaction guarantee | assure customer satisfaction | guaranteeing customer satisfaction | provide customer satisfaction,,hard,autre_hard,ESCO,SKL_f3626780c907
CANS_20bcc5ac0dd0,KDevelop,KDevelop,kdevplatform | KDevelop platform,,hard,donnees_bdd,ESCO,SKL_aaa07ffaa309
CANS_21d097652127,develop blockchain innovative architectures,développer des architectures innovantes dans le domaine de la technologie de la blockchain,build innovative blockchain architectures,construire des architectures blockchain innovantes,hard,developpement_conception,ESCO,SKL_0bdc80704838
CANS_8b1e89fe54a9,keep up to date on product knowledge,tenir à jour ses connaissances des produits,keep posted on product knowledge,,hard,developpement_conception,ESCO,SKL_8137328e7791
CANS_dab87398d2f6,network engineering,ingénierie des réseaux,network architecture,architecture réseau | architecture de réseau,hard,autre_hard,ESCO,SKL_38d8f380447f
CANS_a997195aaee3,analyse the artistic concept based on stage actions,analyser le concept artistique d’après les actions scéniques,analyse artistic concept stage action | examine a performance's artistic concept according to stage movements | analyze the artistic concept based on stage actions | analyse the artistic concept based on actions on stage | analyse the artistic concept of a performance during rehearsals,,hard,donnees_bdd,ESCO,SKL_ba87b921382f
CANS_db37e625e551,migrate existing data,transférer des données existantes,drift existing data,,hard,donnees_bdd,ESCO,SKL_1c64576763e5
CANS_d8a6b6f0f7e3,manage supplies,gérer des fournitures,supplies managing | control and monitor supplies | monitor and control supplies | supply chain management | supplies planning | manage supply chain | plan supplies | supplies management,,hard,autre_hard,ESCO,SKL_3fcb664d84fd
CANS_2a40de3ed4dd,define database physical structure,définir la structure physique de la base de données,define database physical storage structure,constituer la structure physique de la base de données | construire l’architecture d’une base de données | définir la structure de stockage physique de la base de données | bâtir l’architecture d’une base de données | organiser les données | définir la structure logique de la base de données,hard,donnees_bdd,ESCO,SKL_ac3d1669004c
CANS_2668d0fbc85e,Maltego,Maltego,Maltego digital Forensics tool | Maltego cybersecurity tool | Maltego Forensics,,hard,developpement_conception,ESCO,SKL_06308bef515a
CANS_e80adf5de851,draw up artistic production,élaborer une production artistique,drawing up artistic production | document artistic production | draw up artistic productions | write down artistic production | register artistic production | record artistic production,,hard,developpement_conception,ESCO,SKL_0ac8a9d46706
CANS_f64756bac7bb,Erlang,Erlang,Erlang programming language,,hard,developpement_conception,ESCO,SKL_e22e3873e2aa
CANS_3d66dd859b75,manage ICT data classification,gérer la classification des données sur les TIC,lead ICT data classification responsabilities | organise ICT data classification responsibilities,,hard,donnees_bdd,ESCO,SKL_063550b14c8c
CANS_ef48250aea9b,create solutions to problems,trouver des solutions aux problèmes,devise solutions to problems | create solution to problems | formulate solutions to problems | conceive solutions to problems | create solutions | come up with solutions to problems | creating solutions to problems,,hard,developpement_conception,ESCO,SKL_3f11287772f2
CANS_5cf2dd1a5d27,information structure,structure de l’information,data structuring methods | types of data infrastructure | data infrastructure,,hard,donnees_bdd,ESCO,SKL_a33504a35440
CANS_bfaf22dda65d,SAS language,SAS language,SAS coding | SAS algorithms | SAS testing | SAS algorithm | SAS programming language | SAS principles for software development | SAS techniques for software development,,hard,developpement_conception,ESCO,SKL_ad5527904d9f
CANS_d2b4763f6e5f,use an application-specific interface,utiliser une interface spécifique à une application,use an interface specific to the application | using an interface specific to the application | application-specific interface using | operate an interface specific to the application | using an application-specific interface | application-specific interface operating | operating an interface specific to the application | operating an application-specific interface | operate an application-specific interface,,hard,autre_hard,ESCO,SKL_370980230f11
CANS_a898983df12b,define firewall rules,définir des règles de pare-feu,specify access control policies | set firewall rules,,hard,securite,ESCO,SKL_c2d129835e70
CANS_98308df102bc,perform online data analysis,effectuer une analyse de données en ligne,implement online data analysis | undertake online data analysis | performing online data analysis | perform an online data analysis | performing an online data analysis | complete online data analysis,,hard,donnees_bdd,ESCO,SKL_df1270c29978
CANS_562e6a7254ab,manage IT security compliances,gérer la conformité en matière de sécurité des TIC,oversee IT security compliance | ensure compliance with information security regulations,,hard,donnees_bdd,ESCO,SKL_9f1382e6691b
CANS_93f97e27ae36,keywords in digital content,mots-clés dans du contenu numérique,metadata tagging,,hard,autre_hard,ESCO,SKL_beee3bf73849
CANS_6ec63024f38c,domain name service,système de noms de domaine,DNS | DNS server,DNS | serveur DNS,hard,donnees_bdd,ESCO,SKL_54429feac7cb
CANS_c6178c45ce82,mark film reels,marquer des bobines de film,prepare film reels | annotate film reels | mark film reel | marking film reels,,hard,autre_hard,ESCO,SKL_c9f238de68cc
CANS_0126b887d1a0,use experience map,utiliser une carte d’expérience,examine touchpoints with a brand | determine the duration of a touchpoint | examine touchpoints with a service | determine the frequency of a touchpoint | examine touchpoints with a product,,hard,donnees_bdd,ESCO,SKL_87d1bd84a090
CANS_3468ac569f47,mathematical modelling,modélisation mathématique,mathematical computation | mathematical representation | mathematical simulation,calcul mathématique | représentation mathématique | simulation mathématique,hard,autre_hard,ESCO,SKL_d8758f64df30
CANS_2c82abbf70a0,blockchain signature schemes,systèmes de signature de la technologie de la blockchaine,signature schemes for blockchain | digital signature schemes,schémas de signature pour la blockchain | systèmes de signature numérique | schémas de signature numérique | schémas de signature pour la chaîne de blocs,hard,donnees_bdd,ESCO,SKL_55f583e49837
CANS_54c450d6ebcd,normalise data,normaliser les données,prepare data | normalize data | perform data pre-processing,préparer les données | normaliser des données informatiques | effectuer un prétraitement des données | limiter la dépendance | normaliser des données | assurer la cohérence | éliminer les redondances,hard,donnees_bdd,ESCO,SKL_275e26b6cba9
CANS_308e07d21ff6,create prototype of user experience solutions,créer un prototype de solution en matière d’expérience utilisateur,UX,créer un prototype de solution basée sur l’expérience utilisateur | créer un prototype de solution en matière d’UX | concevoir un prototype de solution en matière d’UX | concevoir un prototype de solution en matière d’expérience utilisateur | UX,hard,autre_hard,ESCO,SKL_f928dfa37ee7
CANS_293b3a804d63,apply system organisational policies,appliquer les politiques organisationnelles du système,adhere to organisational system guidelines | enforce organisational system policies | implement system regulations,,hard,autre_hard,ESCO,SKL_c09ce7a24a51
CANS_9495f0cc62de,propose ICT solutions to business problems,proposer des solutions TIC aux problèmes des entreprises,propose technical solutions to business problems,proposer des solutions TIC aux problèmes rencontrés par les entreprises | offrir des solutions TIC aux problèmes des entreprises | proposer des solutions TIC aux problèmes commerciaux | apporter des solutions aux problèmes des entreprises | proposer des solutions techniques aux problèmes des entreprises,hard,developpement_conception,ESCO,SKL_39001d5b3aea
CANS_d530fc8a18ac,computer simulation,simulation sur ordinateur,simulation software ANSYS | computer-based simulation,simulation par ordinateur,hard,autre_hard,ESCO,SKL_cd9a898340a1
CANS_ad08ea7e1c1d,cooperate with colleagues,coopérer avec des collègues,work together with colleagues | collaborate with colleagues | work in collaboration with colleague | work in cooperation with colleagues | work in cooperation with co-workers | collaborate with co-workers | work collaboratively | work cooperatively | cooperate with co-workers | work together with co-workers | work in collaboration with co-workers,,hard,autre_hard,ESCO,SKL_5225b3223466
CANS_cd35deaee8db,administer ICT system,administrer un système de TIC,administer system | operate system | administer network and system,administrer les composants d’un système de TIC | gérer un système de TIC | administrer un réseau de TIC | exploiter un système | faire fonctionner un système informatique,hard,autre_hard,ESCO,SKL_a08ea66fbd95
CANS_1eb9d80bff2e,ensure compliance with environmental legislation,assurer la conformité à une législation environnementale,ensure compliance with environmental regulations | ensuring environmental legislation compliance | ensure environmental legislation compliance | ensuring compliance with environmental legislation | check compliance with environmental laws | ensuring of compliance with environmental legislation | lead implementation of environmental legislation | lead implementation of environmental policies and legislation | checking compliance with environmental laws,,hard,securite,ESCO,SKL_1941cdd907dd
CANS_a8ad013dfd63,execute social engineering tests,réalisation de tests d’ingénierie sociale,perform social engineering tests | execute social engineering attacks | test social engineering | perform social engineering attacks | test social engineering attacks,tester l'ingénierie sociale | exécuter des attaques d'ingénierie sociale | tester les attaques d'ingénierie sociale | effectuer des attaques d'ingénierie sociale | effectuer des tests d'ingénierie sociale,hard,securite,ESCO,SKL_8b3d53b0e9ae
CANS_389c52080753,manage research data,gérer des données de recherche,oversee scientific data | handle research data | administer research data,,hard,autre_hard,ESCO,SKL_f32027a81e9b
CANS_fea431291968,labour legislation,législation sociale,employment legislation | employment law | labor legislation | legislation on labour,législation du travail,hard,autre_hard,ESCO,SKL_e4e2ec90812e
CANS_57c703f1586a,Cain and Abel (penetration testing tool),Cain and Abel (outil de test d’intrusion),Cain and Abel penetration testing software | Cain and Abel password recovery tool | Cain and Abel | Cain and Abel software for penetration testing | Cain and Abel penetration testing tool,,hard,developpement_conception,ESCO,SKL_9e68f3a8a66f
CANS_92675dcef55c,systems development life-cycle,cycle de développement logiciel,application development life-cycle,cycle de développement d’un logiciel | création de logiciel | cycle de développement | développement d’un logiciel | SDLC | conception d’un logiciel | cycle de développement d’une application,hard,developpement_conception,ESCO,SKL_6fce2b343b90
CANS_4bcacba91832,manage ICT change request process,gérer un processus informatisé de demande de modifications,oversee ICT change request process | coordinate ICT change request process | specify the need for ICT change requests | govern ICT change request process | handle ICT change request process,,hard,autre_hard,ESCO,SKL_06efd7af6dfc
CANS_06bfac7f862d,use interface description language,utiliser le langage IDL,utilise specification language,,hard,programmation,ESCO,SKL_73124fb4add3
CANS_db7f697147e3,apply company policies,appliquer les politiques d’une entreprise,administer company policies | applying company policies | employ company policies | utilise company policies | company policy application | apply company policy | implement company policies,,hard,autre_hard,ESCO,SKL_53715a6035cb
CANS_11f4a5d7ac1d,plan migration to cloud,planifier une migration vers l’informatique en nuage,prepare plan for migration to cloud | cloud migration planning | plan refactoring,,hard,autre_hard,ESCO,SKL_c763014c7d96
CANS_fc64abb6b78c,Agile project management,gestion de projets par méthode Agile,Agile management software,logiciel de gestion agile | gestion de projet agile,hard,autre_hard,ESCO,SKL_6df9c3907c46
CANS_43b69dba75f0,network management system tools,outils de système de gestion de réseau,network management system components,,hard,donnees_bdd,ESCO,SKL_36dcc4135ed3
CANS_d6de0030a4c5,use markup languages,utiliser des langages de balisage,use html | use mark-up languages | use XHTML | use HTML | use Html,utiliser SVG | utiliser XHTML | utiliser RSS | utiliser des langages de description de page | utiliser XML | utiliser des langages de description | utiliser HTML,hard,programmation,ESCO,SKL_caa92afcdf36
CANS_d1d51fd6a205,develop automated migration methods,développer des méthodes de migration automatisées,design automated migration methods | design automated transfer of ICT information | generate automated transfer of ICT information | develop automated transfer of ICT information | create automated transfer of ICT information,,hard,developpement_conception,ESCO,SKL_2e64fb93c3f2
CANS_bafc27452c68,load equipment,charger des équipements,fill equipment | cram equipment | loading equipment | pack equipment | equipment loading | stack equipment,,hard,autre_hard,ESCO,SKL_ed7920014102
CANS_6b5cecd0ff01,perform multiple tasks at the same time,exécuter simultanément plusieurs tâches,perform multitasking activities | carry out multitasking | perform multi tasks at the same time,exécuter en même temps plusieurs tâches | effectuer simultanément plusieurs tâches | effectuer en même temps plusieurs tâches,hard,autre_hard,ESCO,SKL_31e8100afb43
CANS_ac320f9c0891,gather data for forensic purposes,collecter des données à des fins médico-légales,compile data for forensic purposes | collect data for forensic purposes,,hard,donnees_bdd,ESCO,SKL_d98dfddbd8e1
CANS_1643e6afefe3,statistical process control,contrôle statistique des processus,quality control oversight | statistical process oversight | quality control jurisdiction | statistical process jurisdiction | quality control authority | quality control supervision | statistical process supervision | statistical process authority,,hard,autre_hard,ESCO,SKL_154aa764ece5
CANS_80db90d24313,manage consumables stock,gérer un stock de consommables,managing consumables stock | manage stocks of consumables | oversee consumables stock | keep watch on consumables stock,,hard,autre_hard,ESCO,SKL_2fe1bb8c91e8
CANS_f74181e29d21,coach employees,intervenir en tant que coach auprès des employés,train staff to improve performance | employee coaching | coach employees for performance | coach staff | train employees to improve performance,,hard,autre_hard,ESCO,SKL_ecda4ba6345b
CANS_a31f6e072118,Ruby (computer programming),Ruby (programmation informatique),Ruby,Ruby-gnome2 | Ruby prog | Ruby lang | Ruby,hard,langage_ou_techno_nommee,ESCO | ONET | ROME,SKL_879db5e51e64 | SKL_8b6f1198a30c | SKL_9b5584008e66
CANS_7b86fc0b1c86,Common Lisp,Common Lisp,Common Lisp programming language,,hard,developpement_conception,ESCO,SKL_962ed8d38c4e
CANS_4e36b9cd4a74,Apache Maven,Apache Maven,Maven,,hard,developpement_conception,ESCO | ONET,SKL_296648b0a054 | SKL_99c6f04ac23c
CANS_c447ab221c24,conduct literature research,mener des recherches documentaires,review literature | conducting literature review | literature reviewing | literature review conducting | reviewing literature,,hard,autre_hard,ESCO,SKL_f8b61597f142
CANS_5596d2a39ea8,prepare licence agreements,préparer des accords de licence,prepare license agreements | write licence agreements,mettre en place des accords de licence | concevoir des licence agreements | préparer un accord de licence | appliquer des accords de licence | élaborer des accords de licence | préparer les accords de licence,hard,autre_hard,ESCO,SKL_0a2f83248444
CANS_afbe69a6e59a,load film reels,charger des bobines de films,prepare film reels | load film reel | ready film reels | loading film reels,,hard,autre_hard,ESCO,SKL_9e8b3c7d6f0f
CANS_573f6c15a8bf,monitor developments in technology used for design,surveiller l’évolution d’une technologie utilisée en conception,monitor developments in technology used for designs | keep watch on developments in technology used for design | keep updated on developments in technology used for design | monitor developments in design technology | track developments in technology used for design | monitoring developments in technology used for design,,hard,developpement_conception,ESCO,SKL_78988824825a
CANS_0c6e6a230427,communicate with customers,communiquer avec des clients,provide customer service | supply customer service | respond to customer requests | respond to customers | engage with customers | help customers | assist customers | talk with customers | communicate with clients | interact with customers | interact with clients,,hard,reseau,ESCO,SKL_f66d4af78875
CANS_adf86e6b3a22,ICT network routing,routage de réseau,ICT network routing techniques | ICT network processes | ICT network routing processes | ICT network techniques,,hard,donnees_bdd,ESCO,SKL_93f80f560331
CANS_c632eddea3bd,internal risk management policy,politique de gestion interne des risques,risk management internal policy,système de gestion interne des risques | mesure de gestion interne des risques | procédure de gestion interne des risques | politique de gestion des risques | politique de contrôle interne des risques | processus de gestion interne des risques,hard,autre_hard,ESCO,SKL_6d0bdba7a8b1
CANS_eec25196f565,assess ICT knowledge,évaluer les connaissances en TIC,capture IT knowledge | capture ICT knowledge,acquérir des connaissances en TIC | capturer des connaissances en TI | capturer des connaissances en TIC | évaluer les connaissances relatives aux TIC | évaluer les connaissances en informatique | évaluer les connaissances informatiques,hard,autre_hard,ESCO,SKL_d00c0cbdf6af
CANS_7d654f42d717,translate requirement concepts into content,traduire les exigences en contenu,obey content guidelines | adhere to content guidelines | abide by content guidelines | observe content guidelines | comply with content guidelines | follow content guidelines,,hard,autre_hard,ESCO,SKL_f8b458719aec
CANS_b46b0d0b9e2f,Lisp,Lisp,Lisp software development principles | Lisp algorithms | Lisp software development techniques | Lisp programming paradigms | Lisp coding techniques,,hard,developpement_conception,ESCO,SKL_9cdd580294bf
CANS_cc30e78b9a18,identify customer requirements,identifier les exigences des clients,write research applications | gather and define user requirements | categorise customer requirements,,hard,autre_hard,ESCO,SKL_9486b1cb5a8f
CANS_80d45ff85d6d,manage schedule of tasks,gérer un planning de tâches,task scheduling | organise tasks | schedule tasks | organize tasks | task planning | assign and schedule tasks | task management | manage task scheduling | plan tasks | manage tasking,,hard,programmation,ESCO,SKL_621054dadc59
CANS_ec2ba675b14d,digital game genres,catégories de jeux numériques,mechanics of digital games,types de gameplay | catégorie de jeux numériques | genres de jeu numériques | catégories de jeux vidéo | mécanique de jeu vidéo | types de jeu vidéo | typologie des jeux vidéo,hard,autre_hard,ESCO,SKL_a2aeab830409
CANS_b819636e702d,analyse decentralised applications,analyse des applications décentralisées,analyse dApps,analyser les dApps,hard,developpement_conception,ESCO,SKL_9055dd908bdf
CANS_bbb39d0df897,building systems monitoring technology,technologie de contrôle des installations techniques des bâtiments,building monitoring systems | building M&E systems | HVAC systems | M&E systems | systems of building monitoring technology | lighting systems | building monitoring technology systems,,hard,autre_hard,ESCO,SKL_136d1d682b59
CANS_98fcc82e9988,transfer uncut audiovisual material to computer,transférer du matériel audiovisuel non découpé sur un ordinateur,transfer unclipped audiovisual material to computer | transfer unedited audiovisual material to computer | transfer audiovisual uncut material to computer | transfer to computer uncut audiovisual material,,hard,donnees_bdd,ESCO,SKL_dd10d1a829c9
CANS_b390c00459d2,write research proposals,rédiger des projets de recherche,write research applications,,hard,autre_hard,ESCO,SKL_5b3f38c82113
CANS_4ed84df41d0a,apply conflict management,appliquer la gestion des conflits,implement conflict management | administer conflict management | utilise conflict management | applying conflict management | conflict management application | employ conflict management | application of conflict management,,hard,autre_hard,ESCO,SKL_4fb65747edd3
CANS_8d0d9a749192,business requirements techniques,techniques d’analyse et de définition des besoins de l’entreprise,business requirements identification,,hard,autre_hard,ESCO,SKL_ed1c943a2742
CANS_fc3ecc93eb80,Informatica PowerCenter,Informatica PowerCenter,PowerCenter Informatica | Informatica Power Center,,hard,donnees_bdd,ESCO | ONET,SKL_59347ba99f49 | SKL_fa5408437768
CANS_365c05ec43b2,systems thinking,pensée systémique,systems thought | integrated thinking | system thinking | integration of thinking | integrate thinking,réflexion systémique,hard,developpement_conception,ESCO,SKL_b22bcd60a416
CANS_463fb030c746,Apache Tomcat,Apache Tomcat,Tomcat,,hard,developpement_conception,ESCO | ONET,SKL_81d5b505c80d | SKL_f6a26930269b
CANS_ddd422af043d,ethical hacking principles,évaluation de la sécurité des systèmes et produits informatiques,ethical hacking techniques,,hard,donnees_bdd,ESCO,SKL_ab670ca70003
CANS_b03e030052bb,software UI design patterns,schéma de conception d’interface utilisateur,software user interface design patterns | solutions for software user interface tasks | best practices for software user interface tasks | solutions for software UI tasks | software UI design best practices,,hard,developpement_conception,ESCO,SKL_658a393bd878
CANS_0ce5a962521a,sustainable technologies,technologies durables,alternative energy | clean energy | green technologies,énergies alternatives | technologies vertes | énergie alternative | énergie propre,hard,securite,ESCO,SKL_72d077beb76d
CANS_46ea592759f7,operate a camera,utiliser une caméra,use photographic or television equipment to capture moving images | use equipment to capture images | operating a camera | operate cameras,,hard,autre_hard,ESCO,SKL_37f09f38257b
CANS_3649ebc419da,Sass,Sass,Syntactically Awesome Stylesheets,,hard,donnees_bdd,ESCO,SKL_e09879137502
CANS_09aeef1fadfa,design cloud architecture,créer une architecture en nuage,design multi-tier cloud architecture | create cloud architecture | engineer cloud architecture,,hard,developpement_conception,ESCO,SKL_56358ec7d691
