entity_id_a,source_a,entity_id_b,source_b,relation,confidence,method,validated,notes
OCC_8545ea52f78d,ROME,OCC_96b5d34f1d58,ESCO,skos:exactMatch,0.985,exact_label:preferred~preferred+emb,auto,Architecte cloud <> architecte cloud
OCC_6d24adb3285c,ROME,OCC_a0cecf937326,ESCO,skos:exactMatch,0.964,embeddings,pending,Administrateur / Administratrice sécurité informatique <> administrateur sécurité informatique/administratrice sécurité informatique
OCC_3b83c3012cf7,ESCO,OCC_c506a18083b7,ROME,skos:exactMatch,0.951,embeddings,pending,développeur web/développeuse web <> Développeur / Développeuse web
OCC_7d1a8b2ea390,ESCO,OCC_903f27875082,ROME,skos:exactMatch,0.929,embeddings,pending,ingénieur/ingénieure de données <> Data engineer
OCC_20596f0afee7,ESCO,OCC_5fafb471f4aa,ROME,skos:exactMatch,0.914,embeddings,pending,analyste de système informatique <> Analyste d'étude informatique
OCC_14d19ed15436,ESCO,OCC_1ce0e8031f25,ROME,skos:exactMatch,0.906,embeddings,pending,technicien informatique/technicienne informatique <> Technicien / Technicienne d'exploitation informatique
OCC_085a2958b6aa,ROME,OCC_20596f0afee7,ESCO,skos:exactMatch,0.905,embeddings,pending,Analyste d'application informatique <> analyste de système informatique
OCC_2f27eb2177cc,ROME,OCC_554c5e421f89,ESCO,skos:closeMatch,0.897,embeddings,pending,Développeur / Développeuse - jeux vidéo <> développeur de jeux numériques/développeuse de jeux numériques
OCC_14d19ed15436,ESCO,OCC_e02a62ee28e8,ROME,skos:closeMatch,0.897,embeddings,pending,technicien informatique/technicienne informatique <> Ingénieur informaticien / Ingénieure informaticienne
OCC_6b1c7257ba1b,ESCO,OCC_c44a9eaae6e7,ROME,skos:closeMatch,0.89,exact_label:alt~alt,pending,analyste logiciel <> Expert / Experte systèmes et réseaux informatiques
OCC_7bde92a813dd,ESCO,OCC_903f27875082,ROME,skos:closeMatch,0.89,exact_label:alt~alt,pending,scientifique des données <> Data engineer
OCC_3ea9dcd66347,ESCO,OCC_563c9ee7ae68,ROME,skos:closeMatch,0.89,exact_label:alt~alt+emb,pending,responsable de la sécurité des TIC <> Responsable de la Sécurité des Systèmes d'Information (RSSI)
OCC_47b1b32e81f9,ESCO,OCC_563c9ee7ae68,ROME,skos:closeMatch,0.89,exact_label:alt~alt,pending,technicien en sécurité informatique/technicienne en sécurité informatique <> Responsable de la Sécurité des Systèmes d'Information (RSSI)
OCC_8545ea52f78d,ROME,OCC_ff4e73f258e8,ESCO,skos:closeMatch,0.89,exact_label:alt~preferred,pending,Architecte cloud <> ingénieur en informatique en nuage/ingénieure en informatique en nuage
OCC_b12363d00856,ESCO,OCC_eab9b08d024c,ROME,skos:closeMatch,0.89,exact_label:alt~alt,pending,gestionnaire des modifications et de la configuration des TIC <> Ingénieur / Ingénieure DevOps
OCC_c79207b250ca,ESCO,OCC_eab9b08d024c,ROME,skos:closeMatch,0.89,exact_label:alt~alt+emb,pending,ingénieur DevOps cloud/ingénieure DevOps cloud <> Ingénieur / Ingénieure DevOps
OCC_7c028d934ec6,ESCO,OCC_903f27875082,ROME,skos:closeMatch,0.89,exact_label:preferred~alt,pending,analyste qualité des données <> Data engineer
OCC_164e408e096f,ROME,OCC_759562b3dd51,ESCO,skos:closeMatch,0.89,exact_label:alt~preferred+emb,pending,Gestionnaire de base de données <> administrateur de base de données/administratrice de base de données
OCC_050f179f19d8,ROME,OCC_fa1704d164c5,ESCO,skos:closeMatch,0.89,exact_label:alt~alt,pending,Ingénieur / Ingénieure d'étude informatique <> concepteur de logiciels/conceptrice de logiciels
OCC_1cd71aaf46fd,ESCO,OCC_53745b14cb87,ROME,skos:closeMatch,0.89,exact_label:alt~alt,pending,webmestre <> Administrateur / Administratrice de site internet
OCC_0a3ba0a2e348,ESCO,OCC_d9115408ab56,REMOTEOK,skos:closeMatch,0.89,exact_label:alt~preferred,pending,analyste d’étude en TIC <> Analyste d'affaires
OCC_0a3ba0a2e348,ESCO,OCC_2088e2ac84a9,ROME,skos:closeMatch,0.89,exact_label:alt~alt,pending,analyste d’étude en TIC <> Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information
OCC_2088e2ac84a9,ROME,OCC_d9115408ab56,REMOTEOK,skos:closeMatch,0.89,exact_label:alt~alt,pending,Consultant fonctionnel / Consultante fonctionnelle des systèmes d'information <> Analyste d'affaires
