parent_entity_id,child_entity_id,entity_kind,relation_type,source
OCC_0343b7108f76,OCC_f7d6c0b45919,occupation,broader_than,ISCO
OCC_0343b7108f76,OCC_e7f39b2bf662,occupation,broader_than,ISCO
OCC_0343b7108f76,OCC_46eb90a6f0f3,occupation,broader_than,ISCO
OCC_0343b7108f76,OCC_ba356122f8a5,occupation,broader_than,ISCO
OCC_0343b7108f76,OCC_b1fcf8e1ad43,occupation,broader_than,ISCO
OCC_9714e20ff583,OCC_438689ba7681,occupation,broader_than,ISCO
OCC_9714e20ff583,OCC_b53bbd7b9fd5,occupation,broader_than,ISCO
OCC_9714e20ff583,OCC_2fd5072bedbe,occupation,broader_than,ISCO
OCC_9714e20ff583,OCC_a8c29a3b5a18,occupation,broader_than,ISCO
OCC_94fe8f91f6a8,OCC_2de9a6c386bc,occupation,broader_than,ISCO
OCC_94fe8f91f6a8,OCC_77edcdb23a49,occupation,broader_than,ISCO
OCC_94fe8f91f6a8,OCC_5bdaba98cc31,occupation,broader_than,ISCO
OCC_94fe8f91f6a8,OCC_7f0cc11c2a49,occupation,broader_than,ISCO
OCC_90f8460e826f,OCC_26254ee56561,occupation,broader_than,ISCO
OCC_90f8460e826f,OCC_9da9ccc54bc6,occupation,broader_than,ISCO
OCC_d6d07c8d8ce0,OCC_0343b7108f76,occupation,broader_than,ISCO
OCC_d6d07c8d8ce0,OCC_9714e20ff583,occupation,broader_than,ISCO
OCC_4149bd1bbf1b,OCC_94fe8f91f6a8,occupation,broader_than,ISCO
OCC_4149bd1bbf1b,OCC_90f8460e826f,occupation,broader_than,ISCO
OCC_a8c29a3b5a18,OCC_a0cecf937326,occupation,broader_than,ESCO
OCC_e7f39b2bf662,OCC_6b1c7257ba1b,occupation,broader_than,ESCO
OCC_26254ee56561,OCC_d1c91c3f5320,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_535421ae1e2c,occupation,broader_than,ESCO
OCC_46eb90a6f0f3,OCC_0ee16ac6947b,occupation,broader_than,ESCO
OCC_b1fcf8e1ad43,OCC_1fbb1e6392b6,occupation,broader_than,ESCO
OCC_a8c29a3b5a18,OCC_46b37f0135cb,occupation,broader_than,ESCO
OCC_a8c29a3b5a18,OCC_8b508c20ce1d,occupation,broader_than,ESCO
OCC_26254ee56561,OCC_6dc1b627155d,occupation,broader_than,ESCO
OCC_b1fcf8e1ad43,OCC_cbee4548194c,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_89f4b0de8aeb,occupation,broader_than,ESCO
OCC_b1fcf8e1ad43,OCC_3e502e92822a,occupation,broader_than,ESCO
OCC_77edcdb23a49,OCC_127c8b092532,occupation,broader_than,ESCO
OCC_438689ba7681,OCC_c7ddb7ad3c99,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_991dd4068ca0,occupation,broader_than,ESCO
OCC_a8c29a3b5a18,OCC_b0446201413b,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_7d1a8b2ea390,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_43a86b759733,occupation,broader_than,ESCO
OCC_26254ee56561,OCC_fa827183f8af,occupation,broader_than,ESCO
OCC_e7f39b2bf662,OCC_a4f72755e1ad,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_7bde92a813dd,occupation,broader_than,ESCO
OCC_a8c29a3b5a18,OCC_3ea9dcd66347,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_01372aeb8cb5,occupation,broader_than,ESCO
OCC_ba356122f8a5,OCC_60d10ff7dab8,occupation,broader_than,ESCO
OCC_e7f39b2bf662,OCC_96b5d34f1d58,occupation,broader_than,ESCO
OCC_b1fcf8e1ad43,OCC_234bb9d3e7c0,occupation,broader_than,ESCO
OCC_e7f39b2bf662,OCC_ff4e73f258e8,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_80660e3c36ff,occupation,broader_than,ESCO
OCC_26254ee56561,OCC_44244775ffc6,occupation,broader_than,ESCO
OCC_b1fcf8e1ad43,OCC_b12363d00856,occupation,broader_than,ESCO
OCC_438689ba7681,OCC_69eaea4542b3,occupation,broader_than,ESCO
OCC_77edcdb23a49,OCC_14d19ed15436,occupation,broader_than,ESCO
OCC_2fd5072bedbe,OCC_e1b1773585de,occupation,broader_than,ESCO
OCC_ba356122f8a5,OCC_e1899e09057e,occupation,broader_than,ESCO
OCC_26254ee56561,OCC_2fff9f5f7342,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_697bbd77a746,occupation,broader_than,ESCO
OCC_26254ee56561,OCC_a0619cde9492,occupation,broader_than,ESCO
OCC_b1fcf8e1ad43,OCC_3e265a77afe1,occupation,broader_than,ESCO
OCC_b1fcf8e1ad43,OCC_b46ed0bc22d0,occupation,broader_than,ESCO
OCC_ba356122f8a5,OCC_47055aec8572,occupation,broader_than,ESCO
OCC_5bdaba98cc31,OCC_8d3f855bfe60,occupation,broader_than,ESCO
OCC_b1fcf8e1ad43,OCC_59802a0ba34e,occupation,broader_than,ESCO
OCC_5bdaba98cc31,OCC_f609b6bc11bf,occupation,broader_than,ESCO
OCC_e7f39b2bf662,OCC_af0b4023ea6c,occupation,broader_than,ESCO
OCC_ba356122f8a5,OCC_9f67438781d4,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_106b6f022c02,occupation,broader_than,ESCO
OCC_26254ee56561,OCC_dfd91b9dccd4,occupation,broader_than,ESCO
OCC_b1fcf8e1ad43,OCC_7c028d934ec6,occupation,broader_than,ESCO
OCC_b1fcf8e1ad43,OCC_23fda8338d1e,occupation,broader_than,ESCO
OCC_26254ee56561,OCC_e25ca0e0dbaa,occupation,broader_than,ESCO
OCC_b1fcf8e1ad43,OCC_65c02430a9d6,occupation,broader_than,ESCO
OCC_a8c29a3b5a18,OCC_68dccaf6a895,occupation,broader_than,ESCO
OCC_a8c29a3b5a18,OCC_9113c1374afd,occupation,broader_than,ESCO
OCC_e7f39b2bf662,OCC_02a46f9d3b88,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_04bac78229be,occupation,broader_than,ESCO
OCC_26254ee56561,OCC_5240fa0b028e,occupation,broader_than,ESCO
OCC_a8c29a3b5a18,OCC_e29ace1e3e50,occupation,broader_than,ESCO
OCC_b53bbd7b9fd5,OCC_07647950ddea,occupation,broader_than,ESCO
OCC_e7f39b2bf662,OCC_c089ec2388cd,occupation,broader_than,ESCO
OCC_438689ba7681,OCC_759562b3dd51,occupation,broader_than,ESCO
OCC_438689ba7681,OCC_65014a542c78,occupation,broader_than,ESCO
OCC_46eb90a6f0f3,OCC_340f51445866,occupation,broader_than,ESCO
OCC_2de9a6c386bc,OCC_9c9233e004da,occupation,broader_than,ESCO
OCC_b53bbd7b9fd5,OCC_e28a715b58e4,occupation,broader_than,ESCO
OCC_b53bbd7b9fd5,OCC_6cb6d62106d9,occupation,broader_than,ESCO
OCC_46eb90a6f0f3,OCC_554c5e421f89,occupation,broader_than,ESCO
OCC_b1fcf8e1ad43,OCC_b01b8def641d,occupation,broader_than,ESCO
OCC_77edcdb23a49,OCC_47b1b32e81f9,occupation,broader_than,ESCO
OCC_26254ee56561,OCC_b0371a36c909,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_20596f0afee7,occupation,broader_than,ESCO
OCC_46eb90a6f0f3,OCC_aa3336017d8a,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_a1ea51659e23,occupation,broader_than,ESCO
OCC_a8c29a3b5a18,OCC_0464755fe4e8,occupation,broader_than,ESCO
OCC_26254ee56561,OCC_6b47842f318d,occupation,broader_than,ESCO
OCC_77edcdb23a49,OCC_708b91f0f734,occupation,broader_than,ESCO
OCC_438689ba7681,OCC_11d84dbfc1bc,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_30549a5affd9,occupation,broader_than,ESCO
OCC_ba356122f8a5,OCC_28d6f1c634d8,occupation,broader_than,ESCO
OCC_ba356122f8a5,OCC_cd04c9fb1a40,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_af41616819b5,occupation,broader_than,ESCO
OCC_46eb90a6f0f3,OCC_3b83c3012cf7,occupation,broader_than,ESCO
OCC_ba356122f8a5,OCC_5bfe9fc9c093,occupation,broader_than,ESCO
OCC_e7f39b2bf662,OCC_c79207b250ca,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_7d8d0e4e5d42,occupation,broader_than,ESCO
OCC_2fd5072bedbe,OCC_6836ed031e87,occupation,broader_than,ESCO
OCC_e7f39b2bf662,OCC_fa1704d164c5,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_ccd1a82716dc,occupation,broader_than,ESCO
OCC_9da9ccc54bc6,OCC_a7160e31f31c,occupation,broader_than,ESCO
OCC_7f0cc11c2a49,OCC_1cd71aaf46fd,occupation,broader_than,ESCO
OCC_26254ee56561,OCC_70a55b7f5d0b,occupation,broader_than,ESCO
OCC_2fd5072bedbe,OCC_bd1d7a63edf2,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_9e5778cecf8d,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_727ec0d8350c,occupation,broader_than,ESCO
OCC_e7f39b2bf662,OCC_e57061351bc6,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_7ca8931aad99,occupation,broader_than,ESCO
OCC_f7d6c0b45919,OCC_0a3ba0a2e348,occupation,broader_than,ESCO
OCC_26254ee56561,OCC_c5ff6e8a57aa,occupation,broader_than,ESCO
SKL_95cef25b821f,SKL_3e8275119d50,skill,broader_than,ESCO_SKILLS
SKL_cdee588f84aa,SKL_5dc382df1438,skill,broader_than,ESCO_SKILLS
SKL_1453ea0b57fd,SKL_3f9f22b21c7f,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_c4640fe55575,skill,broader_than,ESCO_SKILLS
SKL_a3c4676f849b,SKL_f3626780c907,skill,broader_than,ESCO_SKILLS
SKL_c2370a8d0ae1,SKL_aaa07ffaa309,skill,broader_than,ESCO_SKILLS
SKL_c3874fe564df,SKL_19aeb7cb73b2,skill,broader_than,ESCO_SKILLS
SKL_848713e2923c,SKL_0bdc80704838,skill,broader_than,ESCO_SKILLS
SKL_8f951812d27f,SKL_8137328e7791,skill,broader_than,ESCO_SKILLS
SKL_d8f0765c1c31,SKL_38d8f380447f,skill,broader_than,ESCO_SKILLS
SKL_cea699b59583,SKL_ba87b921382f,skill,broader_than,ESCO_SKILLS
SKL_20b19108d741,SKL_1c64576763e5,skill,broader_than,ESCO_SKILLS
SKL_95c40cdd51f6,SKL_3fcb664d84fd,skill,broader_than,ESCO_SKILLS
SKL_20b19108d741,SKL_ac3d1669004c,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_06308bef515a,skill,broader_than,ESCO_SKILLS
SKL_1cb698728502,SKL_0ac8a9d46706,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_e22e3873e2aa,skill,broader_than,ESCO_SKILLS
SKL_20b19108d741,SKL_063550b14c8c,skill,broader_than,ESCO_SKILLS
SKL_309165ba639e,SKL_3f11287772f2,skill,broader_than,ESCO_SKILLS
SKL_c2370a8d0ae1,SKL_a33504a35440,skill,broader_than,ESCO_SKILLS
SKL_b9e3c5128719,SKL_46f9b42c75bd,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_ad5527904d9f,skill,broader_than,ESCO_SKILLS
SKL_cf7c3c765da5,SKL_370980230f11,skill,broader_than,ESCO_SKILLS
SKL_77f2ba894546,SKL_c2d129835e70,skill,broader_than,ESCO_SKILLS
SKL_40adba60c444,SKL_cc2e6ec387e6,skill,broader_than,ESCO_SKILLS
SKL_20b19108d741,SKL_df1270c29978,skill,broader_than,ESCO_SKILLS
SKL_20b19108d741,SKL_9f1382e6691b,skill,broader_than,ESCO_SKILLS
SKL_e88666ea091c,SKL_beee3bf73849,skill,broader_than,ESCO_SKILLS
SKL_c2370a8d0ae1,SKL_54429feac7cb,skill,broader_than,ESCO_SKILLS
SKL_f6c7966d8dcc,SKL_c9f238de68cc,skill,broader_than,ESCO_SKILLS
SKL_20b19108d741,SKL_87d1bd84a090,skill,broader_than,ESCO_SKILLS
SKL_10fe969e1261,SKL_d8758f64df30,skill,broader_than,ESCO_SKILLS
SKL_c2370a8d0ae1,SKL_55f583e49837,skill,broader_than,ESCO_SKILLS
SKL_20b19108d741,SKL_275e26b6cba9,skill,broader_than,ESCO_SKILLS
SKL_b2aff16de2fe,SKL_f928dfa37ee7,skill,broader_than,ESCO_SKILLS
SKL_e3fbc0d4c1db,SKL_c09ce7a24a51,skill,broader_than,ESCO_SKILLS
SKL_848713e2923c,SKL_39001d5b3aea,skill,broader_than,ESCO_SKILLS
SKL_e88666ea091c,SKL_cd9a898340a1,skill,broader_than,ESCO_SKILLS
SKL_ef3949b7f79f,SKL_5225b3223466,skill,broader_than,ESCO_SKILLS
SKL_4347c571ba42,SKL_a08ea66fbd95,skill,broader_than,ESCO_SKILLS
SKL_6f8335c78a9b,SKL_1941cdd907dd,skill,broader_than,ESCO_SKILLS
SKL_a4e98ddb73ee,SKL_8b3d53b0e9ae,skill,broader_than,ESCO_SKILLS
SKL_b2aff16de2fe,SKL_f32027a81e9b,skill,broader_than,ESCO_SKILLS
SKL_1f009c8f6a48,SKL_e4e2ec90812e,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_9e68f3a8a66f,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_6fce2b343b90,skill,broader_than,ESCO_SKILLS
SKL_b5469bbf712d,SKL_06efd7af6dfc,skill,broader_than,ESCO_SKILLS
SKL_7cb0b95d8ecb,SKL_73124fb4add3,skill,broader_than,ESCO_SKILLS
SKL_e3fbc0d4c1db,SKL_53715a6035cb,skill,broader_than,ESCO_SKILLS
SKL_cf7c3c765da5,SKL_c763014c7d96,skill,broader_than,ESCO_SKILLS
SKL_8a4017e488ab,SKL_6df9c3907c46,skill,broader_than,ESCO_SKILLS
SKL_c2370a8d0ae1,SKL_36dcc4135ed3,skill,broader_than,ESCO_SKILLS
SKL_7cb0b95d8ecb,SKL_caa92afcdf36,skill,broader_than,ESCO_SKILLS
SKL_23085972a5e1,SKL_2e64fb93c3f2,skill,broader_than,ESCO_SKILLS
SKL_e62a3ab53efb,SKL_ed7920014102,skill,broader_than,ESCO_SKILLS
SKL_f3ca1938b8f6,SKL_31e8100afb43,skill,broader_than,ESCO_SKILLS
SKL_c331349631ea,SKL_dbaca5910e03,skill,broader_than,ESCO_SKILLS
SKL_7119eb664ab9,SKL_d98dfddbd8e1,skill,broader_than,ESCO_SKILLS
SKL_1e594f8c6e15,SKL_154aa764ece5,skill,broader_than,ESCO_SKILLS
SKL_95c40cdd51f6,SKL_2fe1bb8c91e8,skill,broader_than,ESCO_SKILLS
SKL_fd713cc9d423,SKL_ecda4ba6345b,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_9b5584008e66,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_962ed8d38c4e,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_99c6f04ac23c,skill,broader_than,ESCO_SKILLS
SKL_aaabf934fad2,SKL_f8b61597f142,skill,broader_than,ESCO_SKILLS
SKL_508c5b0a1d5c,SKL_0a2f83248444,skill,broader_than,ESCO_SKILLS
SKL_9f20de910254,SKL_9e8b3c7d6f0f,skill,broader_than,ESCO_SKILLS
SKL_c3874fe564df,SKL_0382fb7b6808,skill,broader_than,ESCO_SKILLS
SKL_8f951812d27f,SKL_78988824825a,skill,broader_than,ESCO_SKILLS
SKL_2071d45dc6aa,SKL_f66d4af78875,skill,broader_than,ESCO_SKILLS
SKL_c2370a8d0ae1,SKL_93f80f560331,skill,broader_than,ESCO_SKILLS
SKL_8a4017e488ab,SKL_6d0bdba7a8b1,skill,broader_than,ESCO_SKILLS
SKL_10267c3c1eff,SKL_d00c0cbdf6af,skill,broader_than,ESCO_SKILLS
SKL_cb1978958417,SKL_f8b458719aec,skill,broader_than,ESCO_SKILLS
SKL_95cef25b821f,SKL_9cdd580294bf,skill,broader_than,ESCO_SKILLS
SKL_05763a8559a5,SKL_9486b1cb5a8f,skill,broader_than,ESCO_SKILLS
SKL_4dc55d1c0758,SKL_621054dadc59,skill,broader_than,ESCO_SKILLS
