entity_id,entity_kind,label_text,label_norm,label_type,language,source
OCC_a0cecf937326,occupation,administrateur sécurité informatique/administratrice sécurité informatique,administrateur securite informatique/administratrice securite informatique,preferred,fr,ESCO
OCC_a0cecf937326,occupation,responsable de la sécurité des technologies de l'information et de la communication,responsable de la securite des technologies de l'information et de la communication,alt,fr,ESCO
OCC_a0cecf937326,occupation,responsable de la sécurité des TIC,responsable de la securite des tic,alt,fr,ESCO
OCC_a0cecf937326,occupation,directrice de la sécurité de la technologie de l'information et de la communication,directrice de la securite de la technologie de l'information et de la communication,alt,fr,ESCO
OCC_a0cecf937326,occupation,administratrice sécurité informatique,administratrice securite informatique,alt,fr,ESCO
OCC_a0cecf937326,occupation,gestionnaire sécurité informatique,gestionnaire securite informatique,alt,fr,ESCO
OCC_a0cecf937326,occupation,directeur de la sécurité de la technologie de l'information et de la communication,directeur de la securite de la technologie de l'information et de la communication,alt,fr,ESCO
OCC_a0cecf937326,occupation,administrateur sécurité informatique,administrateur securite informatique,alt,fr,ESCO
OCC_a0cecf937326,occupation,directeur de la sécurité TIC,directeur de la securite tic,alt,fr,ESCO
OCC_a0cecf937326,occupation,responsable de l'administration de sécurité informatique,responsable de l'administration de securite informatique,alt,fr,ESCO
OCC_a0cecf937326,occupation,directeur de la sécurité informatique,directeur de la securite informatique,alt,fr,ESCO
OCC_a0cecf937326,occupation,directrice de la sécurité informatique,directrice de la securite informatique,alt,fr,ESCO
OCC_a0cecf937326,occupation,directrice de la sécurité TIC,directrice de la securite tic,alt,fr,ESCO
OCC_6b1c7257ba1b,occupation,analyste logiciel,analyste logiciel,preferred,fr,ESCO
OCC_6b1c7257ba1b,occupation,analyste informatique,analyste informatique,alt,fr,ESCO
OCC_6b1c7257ba1b,occupation,analyste de logiciels,analyste de logiciels,alt,fr,ESCO
OCC_6b1c7257ba1b,occupation,analyste d'applications,analyste d'applications,alt,fr,ESCO
OCC_6b1c7257ba1b,occupation,analyste software,analyste software,alt,fr,ESCO
OCC_535421ae1e2c,occupation,ingénieur intégration/ingénieure intégration,ingenieur integration/ingenieure integration,preferred,fr,ESCO
OCC_535421ae1e2c,occupation,ingénieur informatique,ingenieur informatique,alt,fr,ESCO
OCC_535421ae1e2c,occupation,ingénieure intégration,ingenieure integration,alt,fr,ESCO
OCC_535421ae1e2c,occupation,ingénieur intégration des technologies de l'information et de la communication,ingenieur integration des technologies de l'information et de la communication,alt,fr,ESCO
OCC_535421ae1e2c,occupation,ingénieur intégration des TIC,ingenieur integration des tic,alt,fr,ESCO
OCC_535421ae1e2c,occupation,ingénieure intégration des technologies de l'information et de la communication,ingenieure integration des technologies de l'information et de la communication,alt,fr,ESCO
OCC_535421ae1e2c,occupation,ingénieure informatique,ingenieure informatique,alt,fr,ESCO
OCC_535421ae1e2c,occupation,ingénieur intégration,ingenieur integration,alt,fr,ESCO
OCC_535421ae1e2c,occupation,ingénieure intégration des TIC,ingenieure integration des tic,alt,fr,ESCO
OCC_0ee16ac6947b,occupation,spécialiste de l’optimisation des moteurs de recherche,specialiste de l'optimisation des moteurs de recherche,preferred,fr,ESCO
OCC_0ee16ac6947b,occupation,experte de l'optimisation des moteurs de recherche,experte de l'optimisation des moteurs de recherche,alt,fr,ESCO
OCC_0ee16ac6947b,occupation,conseiller en optimisation des moteurs de recherche,conseiller en optimisation des moteurs de recherche,alt,fr,ESCO
OCC_0ee16ac6947b,occupation,spécialiste optimisation de moteurs de recherche,specialiste optimisation de moteurs de recherche,alt,fr,ESCO
OCC_0ee16ac6947b,occupation,conseillère en optimisation des moteurs de recherche,conseillere en optimisation des moteurs de recherche,alt,fr,ESCO
OCC_0ee16ac6947b,occupation,expert de l'optimisation des moteurs de recherche,expert de l'optimisation des moteurs de recherche,alt,fr,ESCO
OCC_1fbb1e6392b6,occupation,analyste-testeur informatique/analyste-testeuse informatique,analyste-testeur informatique/analyste-testeuse informatique,preferred,fr,ESCO
OCC_1fbb1e6392b6,occupation,analyste-testeur informatique,analyste-testeur informatique,alt,fr,ESCO
OCC_1fbb1e6392b6,occupation,analyste-testeur en informatique,analyste-testeur en informatique,alt,fr,ESCO
OCC_1fbb1e6392b6,occupation,analyste-testeuse en informatique,analyste-testeuse en informatique,alt,fr,ESCO
OCC_1fbb1e6392b6,occupation,analyste-testeur en informatique/analyste-testeuse en informatique,analyste-testeur en informatique/analyste-testeuse en informatique,alt,fr,ESCO
OCC_1fbb1e6392b6,occupation,analyste-testeuse informatique,analyste-testeuse informatique,alt,fr,ESCO
OCC_46b37f0135cb,occupation,spécialiste de l’investigation numérique,specialiste de l'investigation numerique,preferred,fr,ESCO
OCC_46b37f0135cb,occupation,spécialiste de la cybersécurité et de la criminalistique,specialiste de la cybersecurite et de la criminalistique,alt,fr,ESCO
OCC_46b37f0135cb,occupation,expert en investigation numérique,expert en investigation numerique,alt,fr,ESCO
OCC_46b37f0135cb,occupation,professionnel l'investigation numérique,professionnel l'investigation numerique,alt,fr,ESCO
OCC_46b37f0135cb,occupation,professionnel de l'investigation informatique,professionnel de l'investigation informatique,alt,fr,ESCO
OCC_46b37f0135cb,occupation,spécialiste en cybersécurité et en criminalistique,specialiste en cybersecurite et en criminalistique,alt,fr,ESCO
OCC_46b37f0135cb,occupation,consultant en informatique légale,consultant en informatique legale,alt,fr,ESCO
