entity_id,source,source_id,isco_code,pref_label_fr,pref_label_en,alt_labels_fr,alt_labels_en,description_fr,description_en,occupation_type,label_language_status
OCC_a0cecf937326,ESCO,0464b062-cea6-4164-b10d-956c61956ae7,2529,administrateur sécurité informatique/administratrice sécurité informatique,,responsable de la sécurité des technologies de l'information et de la communication | responsable de la sécurité des TIC | directrice de la sécurité de la technologie de l'information et de la communication | administratrice sécurité informatique | gestionnaire sécurité informatique | directeur de la sécurité de la technologie de l'information et de la communication | administrateur sécurité informatique | directeur de la sécurité TIC | responsable de l'administration de sécurité informatique | directeur de la sécurité informatique | directrice de la sécurité informatique | directrice de la sécurité TIC,,"Les administrateurs de la sécurité des TIC planifient et mettent en œuvre des mesures de sécurité pour protéger les informations et les données relatives à l’accès non autorisé, à l’attaque délibérée, au vol et à la corruption.",,Occupation,fr_native
OCC_6b1c7257ba1b,ESCO,04ba4d6c-957d-417f-bf63-5b9e015a9f86,2512,analyste logiciel,,analyste informatique | analyste de logiciels | analyste d'applications | analyste software,,"Les analystes de logiciels mettent en évidence et hiérarchisent les exigences des utilisateurs, produisent et documentent les spécifications des logiciels, testent leur application et les examinent pendant le développement de logiciels. Ils servent d’interface entre les utilisateurs de logiciels et l’équipe de développement de logiciels.",,Occupation,fr_native
OCC_535421ae1e2c,ESCO,07e60525-1aad-4099-aaf3-2c7014c92212,2511,ingénieur intégration/ingénieure intégration,,ingénieur informatique | ingénieure intégration | ingénieur intégration des technologies de l'information et de la communication | ingénieur intégration des TIC | ingénieure intégration des technologies de l'information et de la communication | ingénieure informatique | ingénieur intégration | ingénieure intégration des TIC,,Les ingénieurs d’intégration élaborent et mettent en œuvre des solutions qui coordonnent les applications au sein de l’entreprise ou de ses unités et départements. Ils évaluent les composants ou systèmes existants pour déterminer les exigences en matière d’intégration et veillent à ce que les solutions finales répondent aux besoins organisationnels. Ils réutilisent les composants lorsque cela est possible et aident la direction à prendre des décisions. Ils assurent le dépannage de l’intégration du système TIC.,,Occupation,fr_native
OCC_0ee16ac6947b,ESCO,092fdeeb-a76f-4ed2-b248-90fd6eaaffef,2513,spécialiste de l’optimisation des moteurs de recherche,,experte de l'optimisation des moteurs de recherche | conseiller en optimisation des moteurs de recherche | spécialiste optimisation de moteurs de recherche | conseillère en optimisation des moteurs de recherche | expert de l'optimisation des moteurs de recherche,,Les experts d’optimisation du moteur de recherche augmentent le classement des pages web d’une société en ce qui concerne les demandes ciblées dans un moteur de recherche. Ils créent et lancent des campagnes d’optimisation des moteurs de recherche et recensent les domaines dans lesquels des améliorations sont possibles. Les experts d’optimisation du moteur de recherche peuvent mener des campagnes de rémunération par clic (PPC).,,Occupation,fr_native
OCC_1fbb1e6392b6,ESCO,0ab5c12c-c1c1-4772-8345-aa287d0e391d,2519,analyste-testeur informatique/analyste-testeuse informatique,,analyste-testeur informatique | analyste-testeur en informatique | analyste-testeuse en informatique | analyste-testeur en informatique/analyste-testeuse en informatique | analyste-testeuse informatique,,"Les analystes en TIC travaillent dans des environnements d’essai, en évaluant les produits, en vérifiant la qualité et la précision, ou en créant des scripts de tests. Ils conçoivent des essais qui sont ensuite mis en œuvre par des testeurs.",,Occupation,fr_native
OCC_46b37f0135cb,ESCO,0c448a27-10ec-43ba-b880-d9938bade424,2529,spécialiste de l’investigation numérique,,spécialiste de la cybersécurité et de la criminalistique | expert en investigation numérique | professionnel l'investigation numérique | professionnel de l'investigation informatique | spécialiste en cybersécurité et en criminalistique | consultant en informatique légale | spécialiste de l'investigation informatique | professionnelle de l'investigation informatique | professionnelle de l'investigation numérique,,"Les experts en criminalistique numérique extraient et analysent les informations provenant des ordinateurs et d’autres types de dispositifs de stockage de données. Ils examinent les médias numériques qui peuvent avoir été dissimulés, cryptés ou endommagés, d’une manière légale, dans le but d’identifier, de préserver, de valoriser, d’analyser et de présenter des faits et des opinions sur les informations numériques.",,Occupation,fr_native
OCC_8b508c20ce1d,ESCO,0ce5a9f4-e00a-4bbe-b255-3c63407167a4,2529,analyste réponse aux incidents de sécurité,,conseiller sur la sécurité des technologies de l'information et de la communication | conseillère sur la sécurité des TIC | conseillère sur la sécurité des technologies de l'information et de la communication | consultante en sécurité informatique | consultante en sécurité des TIC | consultant en sécurité informatique | conseillère en sécurité informatique | consultante en sécurité des technologies de l'information et de la communication | consultant en sécurité des TIC | conseiller sur la sécurité des TIC | conseiller en sécurité informatique | consultant en sécurité des technologies de l'information et de la communication,,"Les analystes réponse aux incidents de sécurité surveillent et évaluent l’état des systèmes en matière de cybersécurité par l’analyse et l’évaluation des risques d’incidents de cybersécurité en vue d’en atténuer l'impact. En outre, ils identifient les acteurs malveillants et les causes profondes des cyberincidents. Selon le Plan de réponse aux incidents établi par l’organisation, ils/elles rétablissent le fonctionnement des systèmes et des fonctionnalités de traitement, recueillent des éléments probants et documentent les mesures prises.",,Occupation,fr_native
OCC_cbee4548194c,ESCO,102e75c8-3b47-4964-9b47-30a980aed25c,2519,analyste de la reprise des activités informatiques,,analyste de la résistance informatique | analyste de la résilience TIC | analyste de la résilience des technologies de l'information et de la communication | analyste risque opérationnel et résilience informatique,,"Les analystes de la reprise après une catastrophe développent, maintiennent et mettent en œuvre des stratégies et des solutions en matière de continuité des TIC et de rétablissement après sinistre. Ils soutiennent les équipes techniques, évaluent les risques, élaborent et mettent au point des procédures, de la documentation et des stratégies en matière de rétablissement après sinistre afin que les fonctions des entreprises puissent se poursuivre et se redresser, avec une perte minimale de données. Ils coordonnent également les validations des systèmes et les validations du système.",,Occupation,fr_native
OCC_89f4b0de8aeb,ESCO,10469d70-78a3-4650-9e29-d04de13c62c1,2511,concepteur de systèmes informatiques intégrés/conceptrice de systèmes informatiques intégrés,,conceptrice de systèmes imbriqués | concepteur de systèmes informatiques intégrés à l'équipement | concepteur de systèmes incorporés | conceptrice de systèmes incorporés | ingénieur de contrôle de batterie | ingénieur en contrôle de batterie | concepteur de systèmes informatiques intégrés | concepteur informatique intégré | conceptrice de systèmes emboîtés | concepteur de systèmes emboîtés | conceptrice de systèmes informatiques intégrés | conceptrice informatique intégré | concepteur de systèmes imbriqués | conceptrice de systèmes informatiques intégrés à l'équipement,,Les concepteurs de systèmes embarqués traduisent les exigences en matière de conception et de conception et le plan ou l’architecture de haut niveau d’un système de contrôle intégré conformément aux spécifications techniques des logiciels.,,Occupation,fr_native
OCC_3e502e92822a,ESCO,106f79e4-6264-45f1-9e7a-297435cd684b,2519,testeur de logiciels/testeuse de logiciels,,testeuse d'applications | testeur d'applications | testeuse de logiciels | testeuse de logiciels d'application | testeur de logiciels d'application | testeur de logiciels,,"Les testeurs de logiciels effectuent des essais de logiciels. Ils peuvent également les planifier et les concevoir. Ils peuvent aussi déboiser et réparer les logiciels, bien que cela soit principalement le cas pour les concepteurs et les développeurs. Ils veillent à ce que les applications fonctionnent correctement avant de les mettre à la disposition des clients internes et externes.",,Occupation,fr_native
