entity_id,source,source_id,pref_label_fr,pref_label_en,alt_labels_fr,alt_labels_en,description_fr,description_en,esco_skill_type,esco_reuse_level,hard_soft_provisional,hard_soft_method,it_subtype
SKL_9055dd908bdf,ESCO,0e5affa0-705e-4b19-94e8-19e902e0287d,analyse des applications décentralisées,,analyser les dApps,,"Analyse des applications décentralisées concernant les exigences spécifiques en termes de performances des principales fonctions et propriétés telles que gestion des identités, contrôle d’accès, sécurité des données, transparence, performances, évolutivité et maintenabilité. 	",,skill/competence,cross-sector,hard,esco_skillcompetence_default,developpement_conception
SKL_80db69e65dcf,ESCO,a4c2aa71-086f-4a46-b481-2619673c9dfe,effectuer des activités de recherche d’utilisateur de TIC,,,,"Effectuer des tâches de recherche, telles que le recrutement de participants, la programmation des tâches, la collecte de données empiriques, l’analyse des données et l’élaboration de documents, afin d’évaluer l’interaction des utilisateurs avec un système, un programme ou une application de TIC.",,skill/competence,sector-specific,hard,esco_skillcompetence_default,autre_hard
SKL_4f01778789d9,ESCO,fda917eb-0d6a-4371-8c93-2a10bf950966,gérer l’intégration sémantique des TIC,,,,"Superviser l’intégration des bases de données publiques ou internes et d’autres données, en utilisant des technologies sémantiques pour produire un contenu sémantique structuré.",,skill/competence,sector-specific,hard,esco_skillcompetence_default,autre_hard
SKL_f66d4af78875,ESCO,0da516ee-e70e-4384-be13-f5ff80be8127,communiquer avec des clients,,,,"Répondre aux clients et communiquer avec les clients de la manière la plus efficace et la plus appropriée pour leur permettre d’accéder aux produits ou services souhaités, ou à toute autre aide dont ils peuvent avoir besoin.",,skill/competence,cross-sector,hard,esco_skillcompetence_default,reseau
SKL_a86c206915f7,ESCO,69f23426-9279-4fe6-a283-24c2aa4c855d,garantir la disponibilité d'équipements,,,,"Veiller à ce que l’équipement nécessaire soit fourni, prêt et disponible pour utilisation avant le début des procédures.",,skill/competence,cross-sector,hard,esco_skillcompetence_default,autre_hard
SKL_1e5cd3064178,ESCO,df996a98-202f-4a9b-b088-38c8db03ef1b,créer un intitulé,,,,"Trouver un intitulé captivant qui attire l'attention du public sur le contenu de votre article, histoire ou publication.",,skill/competence,cross-sector,hard,esco_skillcompetence_default,autre_hard
SKL_db1fc57b8d09,ESCO,be727774-46d7-43d7-aee9-1a51b5cd8c71,effectuer des prévisions statistiques,,,,"Procéder à un examen statistique systématique de données représentant le comportement passé observé du système à prévoir, y compris les observations des variables prédictives utiles en dehors du système.",,skill/competence,cross-sector,hard,esco_skillcompetence_default,donnees_bdd
SKL_995f3927da00,ESCO,637ca2e2-0624-48b1-be6e-9ff4580344ac,assurer la relecture d’un texte,,,,"Lire attentivement un texte, rechercher, examiner et corriger les erreurs afin d’assurer que le contenu est approprié pour la publication.",,skill/competence,cross-sector,hard,esco_skillcompetence_default,autre_hard
SKL_2413edb46063,ESCO,f28617ad-afdd-4041-814c-216153a38998,analyser les spécifications du logiciel,,évaluer les spécifications du logiciel | analyser les spécifications du logiciel ou système | examiner les spécifications du logiciel | analyser les spécifications logicielles | recueillir les spécifications du logiciel | analyser les spécifications des logiciels,,"Évaluer les spécifications d’un produit ou système logiciel à développer en identifiant les exigences fonctionnelles et non fonctionnelles, les contraintes et les cas d’utilisation possibles illustrant les interactions entre le logiciel et ses utilisateurs.",,skill/competence,sector-specific,hard,esco_skillcompetence_default,programmation
SKL_63e1e2009af4,ESCO,ee8fee1a-75c1-43fb-b08d-779929f99249,appliquer des méthodes statistiques de contrôle des procédés,,,,Appliquer des méthodes statistiques sur la base de conceptions d’essais (DOE) et du contrôle statistique des processus (SPC) afin de contrôler les procédés de fabrication.,,skill/competence,cross-sector,hard,esco_skillcompetence_default,autre_hard
SKL_a0b425f074d0,ESCO,e9575f7f-053a-439e-8074-f93df3334e92,éthique des données,,principes d'éthique des données | principes de l'éthique des données,,"Le sous-domaine de l’éthique qui évalue si les pratiques en matière de données peuvent être considérées comme éthiques, en évaluant si les processus de collecte, d’analyse et de diffusion de données structurées et non structurées sont susceptibles d’avoir une incidence négative sur la société. 	",,knowledge,cross-sector,hard,esco_knowledge_pillar,autre_hard
SKL_8eaf90e6b080,ESCO,54c9c155-9293-4329-8ed2-2e76e8b519d4,définir les critères de qualité des données,,,,"Préciser les critères par lesquels la qualité des données est mesurée à des fins professionnelles, tels que les incohérences, le caractère incomplet, la facilité d’utilisation et l’exactitude.",,skill/competence,sector-specific,hard,esco_skillcompetence_default,autre_hard
SKL_dbbc353ff629,ESCO,4d85b881-e490-4b4c-897a-2faa4ef53956,gérer l’architecture des données TIC,,gérer une architecture de données | assurer la gestion de l’architecture des données | administrer l’architecture des données | contrôler l’architecture des données,,"Superviser les réglementations et utiliser les techniques TIC pour définir l’architecture des systèmes d’information et contrôler la collecte, le stockage, la consolidation, l’organisation et l’utilisation des données au sein d’une organisation.",,skill/competence,sector-specific,hard,esco_skillcompetence_default,developpement_conception
SKL_60ffa168db6b,ESCO,50b100ea-74fd-4706-99db-3e4ca55e51b8,effectuer un nettoyage de données,,,,"Détecter et corriger les enregistrements corrompus de séries de données, veiller à ce que les données deviennent et restent structurées conformément aux lignes directrices.",,skill/competence,cross-sector,hard,esco_skillcompetence_default,donnees_bdd
SKL_f9ec5e405892,ESCO,d9818afc-1dec-4944-8c9c-e3ae8fad176d,configurer la commande d’une machine,,,,Configurer et donner des instructions à une machine en envoyant les données et les entrées appropriées au contrôleur (ordinateur) correspondant au produit de transformation souhaité.,,skill/competence,cross-sector,hard,esco_skillcompetence_default,autre_hard
SKL_318b0a40b120,ESCO,7f0b1a66-ebaf-4c8a-b606-4c1844eb692e,veiller à la qualité des systèmes d’information et de communication,,,,"Assurer des opérations correctes qui répondent pleinement aux besoins et aux résultats spécifiques du point de vue du développement, de l’intégration, de la sécurité et de la gestion globale des systèmes de TIC.",,skill/competence,sector-specific,hard,esco_skillcompetence_default,securite
SKL_cf44a983788c,ESCO,b1604a2d-c26a-427d-bda9-b8073a319fe9,adapter la capacité d’un système de TIC,,adapter la capacité des services de TIC | adapter la capacité des systèmes de TIC | améliorer la prestation des services de TIC | adapter la capacité du système de TIC | ajuster la capacité d’un système de TIC | adapter la capacité des réseaux des TIC,,"Modifier le champ d’application d’un système de TIC en ajoutant ou réaffectant des composants de système TIC supplémentaires, tels que des composants de réseau, des serveurs ou des espaces de stockage, afin de répondre aux demandes en termes de capacités ou de volume.",,skill/competence,sector-specific,hard,esco_skillcompetence_default,autre_hard
SKL_6c3b2061ca0c,ESCO,71c2f41e-14de-4b23-82ad-5dbcd54ba5b0,déployer des systèmes TIC,,,,"Fournir et installer des ordinateurs ou des systèmes TIC, assurer les tests et la préparation en vue de leur utilisation. 	",,skill/competence,sector-specific,hard,esco_skillcompetence_default,autre_hard
SKL_e36932d9aee8,ESCO,7c5b66c6-36a1-4e03-bb57-64e8688b8f58,faire fonctionner un commutateur téléphonique privé,,faire fonctionner un autocommutateur téléphonique privé | utiliser un PABX-IP | utiliser un PABX | faire fonctionner un PBX | utiliser un IPBX | utiliser un standard téléphonique interne,,"Gérer le commutateur téléphonique privé (PBX), un système de télécommunication au sein d’une organisation qui transmet les appels entre les utilisateurs sur les lignes locales. Dans le même temps, le système permet à tous les utilisateurs de partager des lignes téléphoniques externes.",,skill/competence,sector-specific,hard,esco_skillcompetence_default,autre_hard
SKL_ccd10a9e58b7,ESCO,58d7a289-dafd-4363-833f-d1dc4140885e,APL,,,,"Les techniques et les principes du développement de logiciels, tels que l’analyse, les algorithmes, le codage, les tests et la compilation des modèles de programmation en APL.",,knowledge,sector-specific,hard,esco_knowledge_pillar,developpement_conception
SKL_4156ea9aa526,ESCO,d8829a1d-dbde-435b-b921-29d6462f35c9,Android (systèmes d’exploitation mobiles),,,,"Le logiciel Android est composé de caractéristiques, de restrictions, d’architectures et d’autres caractéristiques des systèmes d’exploitation conçus pour fonctionner sur des appareils mobiles.",,knowledge,sector-specific,hard,esco_knowledge_pillar,developpement_conception
SKL_06308bef515a,ESCO,024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,,,,"La plateforme Maltego est une application de police scientifique qui utilise l’exploration de données pour fournir une vue d’ensemble de l’environnement des organisations, teste les faiblesses de sécurité du système en cas d’accès potentiellement non autorisé et démontre la complexité des défaillances des infrastructures.",,knowledge,sector-specific,hard,esco_knowledge_pillar,developpement_conception
SKL_a1c8e261b079,ESCO,20a8fe89-d4eb-4698-8521-8881c13377e0,Interagir professionnellement dans des environnements de recherche et professionnels,,,,"Être attentif aux autres et faire preuve de collégialité. Écouter, fournir et recevoir un retour d’information et répondre de manière perspicace à des tiers, ce qui comprend la supervision et la direction du personnel dans un cadre professionnel.     ",,skill/competence,cross-sector,hard,esco_skillcompetence_default,autre_hard
SKL_e9b9f4a1354d,ESCO,3e2ab38a-4519-4bef-b762-a8bf4836a775,effectuer une réduction des dimensions,,,,"Réduire le nombre de variables ou de caractéristiques d’un ensemble de données dans des algorithmes d’apprentissage automatique au moyen de méthodes telles que l’analyse en composantes principales, la factorisation de la matrice, les méthodes d’autoencodage, etc. 	",,skill/competence,cross-sector,hard,esco_skillcompetence_default,programmation
SKL_c20544c221a8,ESCO,3af687cb-8c7a-46ea-a730-32dbaed040c6,Oracle Data Integrator,,,,"Le programme d’ordinateur Oracle Data Integrator est un outil d’intégration des informations issues de multiples applications créées et entretenues par des organisations, en une seule structure de données cohérente et transparente, développée par l’éditeur de logiciels Oracle.",,knowledge,sector-specific,hard,esco_knowledge_pillar,donnees_bdd
SKL_baba1c8d18ea,ESCO,f6424ebb-8401-446b-9f7e-10d7c854da02,simulation de réseaux TIC,,,,Les méthodes et outils qui permettent de modéliser le comportement du réseau TIC en calculant l’échange de données entre les entités ou en capturant et en reproduisant les caractéristiques d’un réseau opérationnel.,,knowledge,sector-specific,hard,esco_knowledge_pillar,donnees_bdd
SKL_7e853ce0760f,ESCO,42c3287f-5e50-4559-a2d1-2000c70e0aab,Pentaho Data Integration,,,,"Le programme d’ordinateur Pentaho Data Integration est un outil d’intégration des informations issues de multiples applications créées et entretenues par des organisations, en une seule structure de données cohérente et transparente, développée par l’éditeur de logiciels Pentaho.",,knowledge,sector-specific,hard,esco_knowledge_pillar,donnees_bdd
SKL_93be9082045c,ESCO,4da171e5-779c-4983-a76f-91c16751e99f,MySQL,,,,"Le programme informatique MySQL est un outil de création, de mise à jour et de gestion des bases de données, développé par la société de logiciel Oracle.",,knowledge,sector-specific,hard,esco_knowledge_pillar,donnees_bdd
SKL_9b5244fd7e00,ESCO,33d49d4f-31ec-473f-9b8a-b555aa5116bb,développement par itérations,,,,Le modèle de développement par itérations est une méthode de conception des systèmes et applications logiciels.,,knowledge,sector-specific,hard,esco_knowledge_pillar,developpement_conception
