translation_id,entity_kind,entity_id,source,label_en,label_fr,status,reason,created_at
TRAD_00c41ffe23db,occupation,OCC_d70f56db8654,WIKIDATA,chemometrician,Chimiométricien / Chimiométricienne,applied,ok,2026-07-15T09:40:03+00:00
TRAD_1ea4012ded99,occupation,OCC_5def90d15d88,WIKIDATA,computer science teacher,Professeur / Professeure d'informatique,applied,ok,2026-07-15T09:40:03+00:00
TRAD_4fea322b291f,occupation,OCC_e2079fd4cbf9,REMOTEOK,Entry Level Data Entry Clerk Fully,Agent de saisie de données débutant - Télétravail intégral,applied,ok,2026-07-15T09:40:03+00:00
TRAD_982c1d3a4a49,occupation,OCC_a196178f2449,REMOTEOK,Data Entry Specialist,Spécialiste en saisie de données,applied,ok,2026-07-15T09:40:03+00:00
TRAD_bfd7e667ca57,occupation,OCC_a55aa629a66b,REMOTEOK,Senior Analyst Project Support,Analyste senior - Support de projet,applied,ok,2026-07-15T09:40:03+00:00
TRAD_dfdf9f9fbc38,occupation,OCC_d8d5f3a4878b,REMOTEOK,Data Entry Clerk Data Entry Specialist,Agent de saisie de données / Spécialiste en saisie de données,applied,ok,2026-07-15T09:40:03+00:00
TRAD_82073563a8c4,occupation,OCC_cf4a4daecf67,REMOTEOK,Online Tutoring Jobs Teaching Vacancy,Postes de tutorat en ligne - Offre d'emploi en enseignement,applied,ok,2026-07-15T09:40:03+00:00
TRAD_0cf382f6e26f,occupation,OCC_8df0f1dba04b,REMOTEOK,Supply Chain Systems Analyst,Analyste des systèmes de la chaîne d'approvisionnement,applied,ok,2026-07-15T09:40:03+00:00
TRAD_199013b2b8f6,occupation,OCC_937bf93f81fa,REMOTEOK,Hiring Operations Team Member BBG etc,Membre de l'équipe des opérations de recrutement BBG etc.,applied,ok,2026-07-15T09:40:03+00:00
TRAD_ad2f0d424ddc,occupation,OCC_7b3eaf03bbf0,REMOTEOK,Client Success Manager NYC Fully,Responsable de la réussite client - NYC - Télétravail intégral,applied,ok,2026-07-15T09:40:03+00:00
TRAD_3b317558254d,occupation,OCC_1d71758bab20,REMOTEOK,Pool Technician,Technicien / Technicienne de piscine,applied,ok,2026-07-15T09:40:03+00:00
TRAD_4a6168f68445,occupation,OCC_2e0e260cb4d7,REMOTEOK,Product Manager AI,Chef de produit - IA,applied,ok,2026-07-15T09:40:03+00:00
TRAD_079b6fa42f14,occupation,OCC_ec206bac05e9,REMOTEOK,Podcaster and Content Creator Psychology Today,Podcasteur/Podcasteuse et créateur/créatrice de contenu - Psychology Today,applied,ok,2026-07-15T09:40:03+00:00
TRAD_58834a54a6c9,occupation,OCC_4000ceec52ad,REMOTEOK,Data Analyst Excel,Analyste de données - Excel,applied,ok,2026-07-15T09:40:03+00:00
TRAD_bb42dadeb3ac,occupation,OCC_c2f30bbdb638,REMOTEOK,Data Analyst Healthcare,Analyste de données - Secteur de la santé,applied,ok,2026-07-15T09:40:03+00:00
TRAD_a191b1192e48,occupation,OCC_b9e95ef30857,REMOTEOK,Administrative Data Entry File Clerk,Agent administratif de saisie de données et de classement,applied,ok,2026-07-15T09:40:03+00:00
TRAD_2744203ccc34,occupation,OCC_c69fa61c1cf6,REMOTEOK,Data Entry Specialist Assistant Administrator,Spécialiste en saisie de données - Assistant(e) administratif(ve),applied,ok,2026-07-15T09:40:03+00:00
TRAD_8ea0b2d808d7,occupation,OCC_3adbbbd5b065,REMOTEOK,Customer Service Chat Representative,Représentant(e) du service client - Chat,applied,ok,2026-07-15T09:40:03+00:00
