parent_entity_id,child_entity_id,entity_kind,relation_type,source
OCC_5bdaba98cc31,OCC_9716a19e26c0,occupation,broader_than,ATTACH
OCC_f7d6c0b45919,OCC_2413e8e18b32,occupation,broader_than,ATTACH
OCC_5bdaba98cc31,OCC_0bc9a981f71a,occupation,broader_than,ATTACH
OCC_b53bbd7b9fd5,OCC_12f40167dad9,occupation,broader_than,ATTACH
OCC_2fd5072bedbe,OCC_049f29b0d016,occupation,broader_than,ATTACH
OCC_5bdaba98cc31,OCC_6c0ada1a7298,occupation,broader_than,ATTACH
OCC_77edcdb23a49,OCC_7dd66a9512aa,occupation,broader_than,ATTACH
OCC_2fd5072bedbe,OCC_e7ecbc0aa824,occupation,broader_than,ATTACH
OCC_9da9ccc54bc6,OCC_863ed03d42e0,occupation,broader_than,ATTACH
OCC_438689ba7681,OCC_3543db8ef14f,occupation,broader_than,ATTACH
OCC_438689ba7681,OCC_1fe13c2221de,occupation,broader_than,ATTACH
OCC_438689ba7681,OCC_ba88f6c6fa5a,occupation,broader_than,ATTACH
OCC_5bdaba98cc31,OCC_191dff98f7d7,occupation,broader_than,ATTACH
OCC_ba356122f8a5,OCC_7e608ebb0a7e,occupation,broader_than,ATTACH
OCC_e7f39b2bf662,OCC_a8ad0cc0d9ad,occupation,broader_than,ATTACH
OCC_e7f39b2bf662,OCC_96f60317599c,occupation,broader_than,ATTACH
OCC_46eb90a6f0f3,OCC_3a2f82f3951e,occupation,broader_than,ATTACH
OCC_46eb90a6f0f3,OCC_d92fb40fa0da,occupation,broader_than,ATTACH
OCC_46eb90a6f0f3,OCC_21e6a1c289f1,occupation,broader_than,ATTACH
OCC_b53bbd7b9fd5,OCC_ead95d891a26,occupation,broader_than,ATTACH
OCC_5bdaba98cc31,OCC_c556e2c365e5,occupation,broader_than,ATTACH
OCC_b53bbd7b9fd5,OCC_f7914e889674,occupation,broader_than,ATTACH
OCC_f7d6c0b45919,OCC_e8e7321908de,occupation,broader_than,ATTACH
