entity_id,source,source_id,isco_code,source_code,pref_label_en,pref_label_fr,alt_labels_en,alt_labels_fr,description_en,description_fr,occupation_type,label_language_status
OCC_a3018cbd0a2d,ISCO,133,133,133,Information and Communications Technology Service managers,,,,"Information and communications technology service managers plan, direct, and coordinate the acquisition, development, maintenance and use of computer and telecommunication systems, either as the manager of a department or as the general manager of an enterprise or organization that does not have a hierarchy of managers.",,isco_group,en_native
OCC_e16915d06dfc,ISCO,1330,1330,1330,Information and Communications Technology Service Managers,,,,"Information and communications technology service managers plan, direct and coordinate the acquisition, development, maintenance and use of computer and telecommunication systems, either as the manager of a department or as the general manager of an enterprise or organization that does not have a hierarchy of managers.",,isco_group,en_native
OCC_d6d07c8d8ce0,ISCO,25,25,25,Information and Communications Technology Professionals,,,,"Information and communications technology professionals conduct research, plan, design, write, test, provide advice and improve information technology systems, hardware, software and related concepts for specific applications; develop associated documentation including principles, policies and procedures; and design, develop, control, maintain and support databases and other information systems to ensure optimal performance and data integrity and security.",,isco_group,en_native
OCC_0343b7108f76,ISCO,251,251,251,Software and Applications Developers and Analysts,,,,"Software and applications developers and analysts conduct research, plan, design, write, test, provide advice on and improve information technology systems such as hardware, software and other applications to meet specific requirements. Competent performance in most occupations in this sub-major group requires skills at the fourth ISCO skill level.",,isco_group,en_native
OCC_f7d6c0b45919,ISCO,2511,2511,2511,Systems Analysts,,,,"Systems analysts conduct research, analyse and evaluate client information technology requirements, procedures or problems, and develop and implement proposals, recommendations and plans to improve current or future information systems.",,isco_group,en_native
OCC_e7f39b2bf662,ISCO,2512,2512,2512,Software Developers,,,,"Software developers research, analyse and evaluate requirements for existing or new software applications and operating systems, and design, develop, test and maintain software solutions to meet these requirements.",,isco_group,en_native
OCC_46eb90a6f0f3,ISCO,2513,2513,2513,Web and Multimedia Developers,,,,"Web and multimedia development professionals combine design and technical knowledge to research, analyse, evaluate, design, programme and modify websites and applications that draw together text, graphics, animations, imaging, audio and video displays and other interactive media.",,isco_group,en_native
OCC_ba356122f8a5,ISCO,2514,2514,2514,Applications Programmers,,,,Applications programmers write and maintain programmable code outlined in technical instructions and specifications for software applications and operating systems.,,isco_group,en_native
OCC_b1fcf8e1ad43,ISCO,2519,2519,2519,Software and Applications Developers and Analysts Not Elsewhere Classified,,,,"This unit group covers software and applications developers and analysts not classified elsewhere in Minor Group 251: Software and Applications Developers and Analysts. For instance, the group includes those professionals specializing in quality assurance including software testing.",,isco_group,en_native
OCC_9714e20ff583,ISCO,252,252,252,Database and Network Professionals,,,,"Database and network professionals design, develop, control, maintain and support the optimal performance and security of information technology systems and infrastructure, including databases, hardware and software, networks and operating systems.",,isco_group,en_native
