entity_id,source,source_id,pref_label_en,pref_label_fr,alt_labels_en,alt_labels_fr,description_en,description_fr,esco_skill_type,esco_reuse_level,hard_soft_provisional,hard_soft_method,it_subtype
SKL_04b1716090d6,ESCO,a520b743-8f40-43ac-a2d5-755899120844,audio technology,technologie audio,audio equipment | audio technologies | audio techniques | audio software,,"The various technologies for producing, recording, and reproducing sound.",,knowledge,cross-sector,hard,esco_knowledge_pillar,knowledge_general
SKL_179834b0ac6e,ESCO,557e9247-1a2d-4497-aa7f-0cded7768da1,Aircrack (penetration testing tool),Aircrack (outil de test d’intrusion),Aircrack,,"The computer program Aircrack is a cracking program which recovers 802.11 WEP and WPA-PSK keys by making several network attacks such as FMS, KoreK and PTW attacks.",,knowledge,sector-specific,hard,esco_knowledge_pillar,security
SKL_a2eb07d964f7,ESCO,4959697d-3a24-4f46-af0c-b752318e6c54,ObjectStore,ObjectStore,Ignite ObjectStore | ObjectStore Standard Edition | Ignite’s ObjectStore Standard Edition,,"The computer program ObjectStore is a tool for creating, updating and managing databases, developed by the software company Object Design, Incorporated.",,knowledge,sector-specific,hard,esco_knowledge_pillar,knowledge_general
SKL_98f3bee600ee,ESCO,53780150-1581-4ae6-b435-34068c172caf,Vyper,Vyper,Vyper software,,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Vyper.",,knowledge,sector-specific,hard,esco_knowledge_pillar,knowledge_general
SKL_24d33cc1ce81,ESCO,95324ac5-69a5-419b-a877-720b1ee44236,research remote sensing technologies,faire des recherches sur les technologies de télédétection,researching remote sensing technologies | study remote sensing technologies | remote sensing technology research | analyse remote sensing technologies | examine remote sensing technologies | evaluate remote sensing technologies,,Perform research in order to develop new remote sensing techniques and equipment.,,skill/competence,occupation-specific,hard,esco_skillcompetence_default,other_hard
SKL_415d601a3a97,ESCO,7e1fe870-945c-4532-bf59-e94caf54b6f8,collaborate with music librarians,collaborer avec les archivistes de musique,collaborate with a librarian of music | work with librarians | communicate with music librarians | collaborate together with music librarians,collaborer avec les bibliothécaires musicaux,Communicate and work together with music librarians to ensure permanent availability of scores.,,skill/competence,sector-specific,hard,esco_skillcompetence_default,other_hard
SKL_3e8c1f855c1a,ESCO,571c8cb7-33f5-4a2e-999d-35688afed581,repair maritime communication equipment,réparer des équipements de communication maritime,repair maritime communication devices | perform repair activities on maritime communication equipment | fix maritime communication equipment | perform repairs on maritime communication equipment | fix maritime communication devices | undertake maritime communication equipment repair activities | fix maritime communication apparatus | carry out repairs on maritime communication equipment | execute maritime equipment repairs | mend maritime communication equipment | repair maritime communication apparatus,,Repair maritime communication devices as required by using electronic testing equipment.,,skill/competence,occupation-specific,hard,esco_skillcompetence_default,other_hard
SKL_f102b758f503,ESCO,f7e051fc-8f7b-45b3-8911-8ffb9b951f4a,blockchain consensus mechanisms,mécanismes de consensus dans la chaîne de blocs,proof of stake | delegated proof of stake | POS | blockchain consensus protocols | CaaS | POW | distributed ledger consensus protocols | proof of authority | proof of work | consensus building mechanisms | consensus as a service | dPOS,,The different mechanisms and their characteristics that ensure a transaction is propagated correctly in the distributed ledger.,,knowledge,sector-specific,hard,esco_knowledge_pillar,emerging_tech
SKL_0f4dc71e041d,ESCO,f6d294f4-db62-4fc5-a7b8-778e5071c112,carry out forum moderation,assurer la modération sur un forum,carry out moderation of forums | moderate forum | perform moderation of forums | act as a forum moderator | perform moderation of online forums | carry out moderation of online forums | moderate online forums | undertake forum moderation | moderate forum activity | moderate online forum activity | perform forum moderation,,"Supervise communication activity on a web forum and other discussion platforms by assessing if the content adheres to forum regulations, enforcing rules of conduct, and ensuring the forum remains free of illegal material and conflict.",,skill/competence,cross-sector,hard,esco_skillcompetence_default,other_hard
SKL_361e0eb1d41d,ESCO,fa3e5cec-703e-4d46-b3bb-e8a89540ab54,manage digital archives,gérer des archives numériques,maintain digital archives | manage digital archive | oversee digital archives | managing digital archives,,"Create and maintain computer archives and databases, incorporating latest developments in electronic information storage technology.",,skill/competence,sector-specific,hard,esco_skillcompetence_default,other_hard
SKL_8fdc5cfeed79,ESCO,98a1dec3-8138-4f46-a596-5e2a83b884b9,business analytics,analyse des entreprises,business data analytics,analyse des données commerciales | analyse de données commerciales,The disciplines and technologies for solving business problems through employing quantitative methods such as data analysis and statistical models.,,knowledge,sector-specific,hard,esco_knowledge_pillar,data_databases
SKL_f6bc4de2f8d0,ESCO,4fa830eb-965f-467c-9dc2-46f1fdc30875,manage sound quality,gérer la qualité sonore,managing sound quality | supervise sound quality | maintain sound quality | sound quality management | regulate sound quality | oversee sound quality | manage the quality of sound quality,,Perform sound checks. Set up audio equipment for optimal sound output before as well as during performance. Regulate the volume during broadcasts by controlling the audio equipment.,,skill/competence,cross-sector,hard,esco_skillcompetence_default,other_hard
SKL_362baba5cb5a,ESCO,17924c75-45f4-4593-afac-eea0d51f04b5,defence standard procedures,procédures normalisées de défense,defence protocols | defence standard processes | defence standard technical procedures | defence standard methods | defence standard guidelines,,"Methods and procedures typical for defence applications such as the NATO Standardization Agreements or STANAGs Standard definitions of the processes, procedures, terms, and conditions for common military or technical procedures or equipment. Guidelines for capability planners, programme managers and test managers to prescribe the necessary technical standards and profiles to achieve interoperability of Communications and Information Systems.",,knowledge,sector-specific,hard,esco_knowledge_pillar,knowledge_general
SKL_8eaf90e6b080,ESCO,54c9c155-9293-4329-8ed2-2e76e8b519d4,define data quality criteria,définir les critères de qualité des données,specify data quality criteria | set data quality benchmarks,,"Specify the criteria by which data quality is measured for business purposes, such as inconsistencies, incompleteness, usability for purpose and accuracy.",,skill/competence,sector-specific,hard,esco_skillcompetence_default,other_hard
SKL_d0bf41708bae,ESCO,a56dec32-05ef-45de-a256-ee6741f356db,information confidentiality,confidentialité de l’information,data confidentiality | consumer data privacy | data access control,confidentialité des données | contrôle de l’accès aux données | confidentialité des informations | confidentialité des données de l’utilisateur | protection du caractère confidentiel des données | protection des renseignements personnels,"The mechanisms and regulations which allow for selective access control and guarantee that only authorised parties (people, processes, systems and devices) have access to data, the way to comply with confidential information and the risks of non-compliance.",,knowledge,sector-specific,hard,esco_knowledge_pillar,knowledge_general
SKL_af82150fafdb,ESCO,d2adb565-a865-424d-aeb5-9fbcbf2afe2a,Joomla,Joomla,Joomla software,,"The open-source web-based software system written in PHP, used for creating, editing, publishing and archiving blogs, articles, corporate or small business websites, social networking websites or press releases.",,knowledge,sector-specific,hard,esco_knowledge_pillar,knowledge_general
SKL_c604e4449259,ESCO,4039158b-2e58-484a-8771-ad215e065c12,communicate during show,communiquer pendant le spectacle,communicate throughout a show | communicate efficiently during a performance | communicate effectively during a live show | communicate throughout shows,,"Communicate efficiently with other professionals during a live performance show, anticipating any possible malfunctioning.",,skill/competence,sector-specific,hard,esco_skillcompetence_default,other_hard
SKL_96a1e6b4ee57,ESCO,123cf7c5-6a3b-419d-be4f-49a6cc020f9f,interactive media,médias interactifs,interactive multimedia,multimédia interactif,"The method of communication that takes place through digital medias and is based on customers interactions with them. The interactions take place with computerised elements (e.g., moving graphics, digital text and sound).",,knowledge,cross-sector,hard,esco_knowledge_pillar,knowledge_general
SKL_bb277b77e035,ESCO,f975091a-e5a5-4472-ac17-11680e53e98f,seek innovation in current practices,rechercher des pratiques innovantes,innovate | seek an innovative current practice | identify innovation | seek innovative current practices,rechercher des innovations | rechercher des pratiques inédites,"Search for improvements and present innovative solutions, creativity and alternative thinking to develop new technologies, methods or ideas for and answers to work-related problems.",,skill/competence,cross-sector,hard,esco_skillcompetence_default,other_hard
SKL_425f273c6378,ESCO,31f53419-4bce-4b10-986a-70a9c7ac41a3,micro mobility devices,dispositifs de micromobilité,micro mobility gadgets | mobility lightweight vehicles | mobility lightweight devices | micro mobility vehicles,,"The different types of small lightweight vehicles for personal use such as shared bicycles, e-bicycles, e-scooters, electric skateboards.",,knowledge,sector-specific,hard,esco_knowledge_pillar,knowledge_general
SKL_2bc91d00f4a3,ESCO,f4a85869-1855-45d5-a43c-7ee8cd451996,perform ICT security testing,effectuer des tests de sécurité des TIC,prepare and apply security test plans,,"Execute types of security testing, such as network penetration testing, wireless testing, code reviews, wireless and/or firewall assessments in accordance with industry-accepted methods and protocols to identify and analyse potential vulnerabilities.",,skill/competence,sector-specific,hard,esco_skillcompetence_default,security
SKL_2ddae747961e,ESCO,42f977aa-a6eb-4994-b368-d5f26c0fd1fa,familiarise with personal directing styles,se familiariser avec les styles personnels de la direction,familiarise with directors' styles | understand personal directing style | adapt to director's style | anticipate personal directing styles,anticiper les styles de direction personnels | anticiper les styles de réalisation personnels | s'adapter au style du réalisateur | comprendre le style  personnel de la direction | comprendre le style de réalisation personnel | comprendre le style propre au metteur en scène | s'adapter au style de la direction,Understand and analyse the behaviour of specific directors.,,skill/competence,sector-specific,hard,esco_skillcompetence_default,other_hard
SKL_a8e640d3772f,ESCO,ba1b0441-a6b8-4e57-8ccc-871012f63e42,trading software,logiciel de négociation,trading application | trading software solution,solution logicielle de trading | demande de trading | application de trading,The finance and trading integrated software solutions.,,knowledge,sector-specific,hard,esco_knowledge_pillar,programming_languages
SKL_70a487b401b1,ESCO,a9bf8565-8a09-4118-9922-932d65a79d69,manage localisation,gérer la localisation,manage translation and localisation | manage content localization | manage content localisation | manage localization | manage content translation and localisation,administrer la localisation | assurer la gestion de la localisation | gérer la traduction et la localisation | gérer la localisation de logiciels | contrôler la localisation | superviser la localisation,Modify content or a product for the transference from one locale to another through the use of content translation or localisation service providers.,,skill/competence,cross-sector,hard,esco_skillcompetence_default,other_hard
SKL_e236a38c4a85,ESCO,4216e465-7baa-4884-a241-54b197bb9278,perform data mining,procéder à l’extraction de données,mine data | use model data,utiliser un modèle de données | réaliser l’extraction de données | utiliser l’informatique décisionnelle | extraire des données | effectuer l’extraction de données,"Explore large datasets to reveal patterns using statistics, database systems or artificial intelligence and present the information in a comprehensible way.",,skill/competence,sector-specific,hard,esco_skillcompetence_default,ai_ml
SKL_431af79d6c2d,ESCO,d15f8745-28f8-4abf-a7b6-6cb8a304efd2,tolerate stress,supporter le stress,stress tolerance | endure stress | stress toleration | tolerating stress | abide stress | permit stress,,Maintain a temperate mental state and effective performance under pressure or adverse circumstances.,,skill/competence,sector-specific,hard,esco_skillcompetence_default,other_hard
SKL_9a89a1a61939,ESCO,d0a7144b-ba91-4489-acb8-a055c6b7e968,scan negatives,numériser des négatifs,scan photograph negatives | copy negatives | scan photo negatives,,"Scan processed negatives so they can be digitally stored, edited, and printed.",,skill/competence,sector-specific,hard,esco_skillcompetence_default,other_hard
