unified_id,primary_label_en,primary_label_fr,alt_labels_en,alt_labels_fr,isco_code,occupation_type,sources,member_entity_ids,wikidata_qid,wikidata_url,wikidata_description,description,description_source
UOCC_e3fddf215e47,ICT security administrator,administrateur sécurité informatique/administratrice sécurité informatique,CISO | IT security administrator | information security administrator | ICT security administrators | network security administrator | system security administrator,responsable de la sécurité des technologies de l'information et de la communication | responsable de la sécurité des TIC | directrice de la sécurité de la technologie de l'information et de la communication | administratrice sécurité informatique | gestionnaire sécurité informatique | directeur de la sécurité de la technologie de l'information et de la communication | administrateur sécurité informatique | directeur de la sécurité TIC | responsable de l'administration de sécurité informatique | directeur de la sécurité informatique | directrice de la sécurité informatique | directrice de la sécurité TIC,2529,unified_occupation,ESCO,OCC_a0cecf937326,,,,"ICT security administrators plan and carry out security measures to protect information and data from unauthorised access, deliberate attack, theft and corruption.",source
UOCC_66a1790ba933,software analyst,analyste logiciel,software requirement analyst | programming analyst | software analysts | programmer analyst | application analyst | software requirements analyst | analyst of software,analyste informatique | analyste de logiciels | analyste d'applications | analyste software,2512,unified_occupation,ESCO,OCC_6b1c7257ba1b,Q2058241,https://www.wikidata.org/wiki/Q2058241,profession in IT,"Software analysts elicit and prioritise user requirements, produce and document software specifications, test their application, and review them during software development. They act as the interface between the software users and the software development team.",source
UOCC_5625605ea47c,performance video operator,opérateur vidéo/opératrice vidéo,live video operator | projection operator | video and graphics operator | video projection operator | visuals operator | video projection technician | visual and graphic operator | visual projection operator | video and graphics technician | video operator,opératrice vidéo | opérateur vidéo,3521,unified_occupation,ESCO,OCC_d1c91c3f5320,,,,"Performance video operators control the (projected) images of a performance based on the artistic or creative concept, in interaction with the performers. Their work is influenced by and influences the results of other operators. Therefore, the operators work closely together with the designers, operators and performers. Performance video operators prepare media fragments, supervise the setup, steer the technical crew, program the equipment and operate the video system. Their work is based on plans, instructions and other documentation.",source
UOCC_8dbbe0111cd8,integration engineer,ingénieur intégration/ingénieure intégration,IT integration engineer | ICT integration engineers | system integration engineer | software integration engineer,ingénieur informatique | ingénieure intégration | ingénieur intégration des technologies de l'information et de la communication | ingénieur intégration des TIC | ingénieure intégration des technologies de l'information et de la communication | ingénieure informatique | ingénieur intégration | ingénieure intégration des TIC,2511,unified_occupation,ESCO,OCC_535421ae1e2c,,,,Integration engineers develop and implement solutions which coordinate applications across the enterprise or its units and departments. They evaluate existing components or systems to determine integration requirements and ensure that the final solutions meet organisational needs. They reuse components when possible and assist management in taking decisions. They perform ICT system integration troubleshooting.,source
UOCC_b8caec9ae4d1,search engine optimisation expert,spécialiste de l’optimisation des moteurs de recherche,search engine optimisation experts | search engine optimization expert | search engine optimisation specialist | search engine optimiser | SEO expert | SEO specialist | inbound marketer | growth hacker | search engine marketing specialist | search engine optimisation consultant | SEO experts,experte de l'optimisation des moteurs de recherche | conseiller en optimisation des moteurs de recherche | spécialiste optimisation de moteurs de recherche | conseillère en optimisation des moteurs de recherche | expert de l'optimisation des moteurs de recherche,2513,unified_occupation,ESCO,OCC_0ee16ac6947b,,,,Search engine optimisation experts increase the ranking of a company's web pages with regard to target queries in a search engine. They create and launch SEO campaigns and identify areas of improvement. Search engine optimisation experts may conduct pay per click (PPC) campaigns.,source
UOCC_1300295236e5,ICT test analyst,analyste-testeur informatique/analyste-testeuse informatique,IT test analyst | test designer,analyste-testeur informatique | analyste-testeur en informatique | analyste-testeuse en informatique | analyste-testeur en informatique/analyste-testeuse en informatique | analyste-testeuse informatique,2519,unified_occupation,ESCO,OCC_1fbb1e6392b6,,,,"ICT test analysts work in testing environments, assessing products, checking for quality and accuracy, or creating tests scripts. They design tests which are then implemented by testers.",source
UOCC_7e83bf58927e,digital forensics expert,spécialiste de l’investigation numérique,computer forensics consultant | computer forensics investigator | computer forensics expert | digital forensics analyst | digital forensics specialist | digital forensics experts | ICT forensics expert | digital forensic expert | cyber forensics expert | cybersecurity analyst | information forensics expert | cybersecurity and forensic specialist,spécialiste de la cybersécurité et de la criminalistique | expert en investigation numérique | professionnel l'investigation numérique | professionnel de l'investigation informatique | spécialiste en cybersécurité et en criminalistique | consultant en informatique légale | spécialiste de l'investigation informatique | professionnelle de l'investigation informatique | professionnelle de l'investigation numérique,2529,unified_occupation,ESCO,OCC_46b37f0135cb,,,,"Digital forensics experts retrieve and analyse information from computers and other types of data storage devices. They examine digital media that may have been hidden, encrypted or damaged, in a forensic manner with the aim to identify, preserve, recover, analyse and present facts and opinions about the digital information.",source
UOCC_1d03457ea9c5,cyber incident responder,analyste réponse aux incidents de sécurité,ICT security consultant | cyber crisis expert | information technology security consultant | security operations center analyst | cyber incident handler | information communications technology security consultant | cyber fighter | IT security expert | incident response engineer | ICT security engineer | cybersecurity SIEM manager | ICT security advisor | IT security advisor | security architect | security operation analyst | SOC Analyst | consultant in ICT security activities | cyber defender | IT security consultant | ICT security architect,conseiller sur la sécurité des technologies de l'information et de la communication | conseillère sur la sécurité des TIC | conseillère sur la sécurité des technologies de l'information et de la communication | consultante en sécurité informatique | consultante en sécurité des TIC | consultant en sécurité informatique | conseillère en sécurité informatique | consultante en sécurité des technologies de l'information et de la communication | consultant en sécurité des TIC | conseiller sur la sécurité des TIC | conseiller en sécurité informatique | consultant en sécurité des technologies de l'information et de la communication,2529,unified_occupation,ESCO,OCC_8b508c20ce1d,,,,"Cyber incident responders monitor and assess cybersecurity state systems, analysing, evaluating, and mitigating the impact of cybersecurity incidents. Moreover, they identify malicious actors and cyber incidents root causes. According to the organisation’s Incident Response Plan, they restore systems and process functionalities to an operational state, collecting evidence and documenting actions taken.",source
UOCC_133d5fecaede,sound operator,opérateur du son/opératrice du son,sound board operator | sound mixer | audio board operator | sound board technician | audio operator | sound audio technician | sound system operator | audio system operator,opératrice du son | opérateur du son | chef opératrice du son | sonorisateur | chef opérateur du son | sonorisatrice | cheffe opératrice du son | OPS | sondier,3521,unified_occupation,ESCO,OCC_6dc1b627155d,Q10341105,https://www.wikidata.org/wiki/Q10341105,"technician who prepares, programs and operates sound systems for performances, broadcasts or events","Sound operators control the sound of a performance based on the artistic or creative concept, in interaction with the performers. Their work is influenced by and influences the results of other operators. Therefore, the operators work closely together with the designers and performers. They prepare audio fragments, supervise the setup, steer the technical crew, program the equipment and operate the sound system. Their work is based on plans, instructions and other documentation.",source
UOCC_b7ca379cfdb0,ICT disaster recovery analyst,analyste de la reprise des activités informatiques,business continuity analyst | ICT resilience analysts | IT resilience analyst | IT disaster recovery analyst | business continuity strategist | disaster recovery officer,analyste de la résistance informatique | analyste de la résilience TIC | analyste de la résilience des technologies de l'information et de la communication | analyste risque opérationnel et résilience informatique,2519,unified_occupation,ESCO,OCC_cbee4548194c,,,,"ICT disaster recovery analysts develop, maintain, and implement ICT continuity and disaster recovery strategies and solutions. They support the technical teams, assess the risks, design and develop procedures, documentation and strategies for disaster recovery in order for business functions to continue and recover with a minimal loss of data. They also coordinate the system backups tests and validations.",source
UOCC_bdb07d56a94b,embedded system designer,concepteur de systèmes informatiques intégrés/conceptrice de systèmes informatiques intégrés,embedded system programmer | embedded systems designers | embedded software developer | embedded system developer | embedded systems programmer | battery controls engineer | embedded systems developer | embedded systems engineer,conceptrice de systèmes imbriqués | concepteur de systèmes informatiques intégrés à l'équipement | concepteur de systèmes incorporés | conceptrice de systèmes incorporés | ingénieur de contrôle de batterie | ingénieur en contrôle de batterie | concepteur de systèmes informatiques intégrés | concepteur informatique intégré | conceptrice de systèmes emboîtés | concepteur de systèmes emboîtés | conceptrice de systèmes informatiques intégrés | conceptrice informatique intégré | concepteur de systèmes imbriqués | conceptrice de systèmes informatiques intégrés à l'équipement,2511,unified_occupation,ESCO,OCC_89f4b0de8aeb,,,,Embedded system designers translate and design requirements and the high-level plan or architecture of an embedded control system according to technical software specifications.,source
UOCC_9b38722f3b0b,software tester,testeur de logiciels/testeuse de logiciels,module tester | application tester | soft tester | application software tester | software testing specialist | unit tester | software testers | software application tester | tester,testeuse d'applications | testeur d'applications | testeuse de logiciels | testeuse de logiciels d'application | testeur de logiciels d'application | testeur de logiciels,2519,unified_occupation,ESCO,OCC_3e502e92822a,Q53471584,https://www.wikidata.org/wiki/Q53471584,person who performs software tests,Software testers perform software tests. They may also plan and design them. They may also debug and repair software although this mainly corresponds to designers and developers. They ensure that applications function properly before delivering them to internal and external clients.,source
UOCC_9f4469f34da0,ICT help desk manager,responsable du service d’assistance informatique,software support manager | ICT helpdesk managers | IT helpdesk manager | ICT service desk manager | ICT help desk managers | IT help desk manager | technical support manager | ICT helpdesk manager,responsable du service d'assistance en technologies de l'information et de la communication | responsable du service d'assistance en TIC | responsable help desk informatique | responsable du service d'aide aux utilisateurs,3512,unified_occupation,ESCO,OCC_127c8b092532,,,,ICT help desk managers monitor the delivery of technical support services to clients according to the predefined deadlines. They plan and organise the user support actions and troubleshoot ICT problems and issues. ICT help desk managers supervise the help desk team ensuring that the customers get the appropriate feedback and support. They also participate in developing customer service guidelines and in reinforcing the team.,source
