entity_id,entity_kind,unified_id,label_en,qid,wikidata_url,wd_label,wd_description,instance_of,match_method,confidence
USKL_3935d8d5c92a,skill,USKL_3935d8d5c92a,business analytics,Q5001829,https://www.wikidata.org/wiki/Q5001829,business analytics,,,exact,high
USKL_aafaa70e7b52,skill,USKL_aafaa70e7b52,Joomla,Q13167,https://www.wikidata.org/wiki/Q13167,Joomla,,,exact,high
USKL_dd964ca18d6c,skill,USKL_dd964ca18d6c,electronics,Q11650,https://www.wikidata.org/wiki/Q11650,electronics,,,exact,high
USKL_316e45d8321e,skill,USKL_316e45d8321e,Robotics,Q131920116,https://www.wikidata.org/wiki/Q131920116,Robotics,,,exact,high
USKL_55837d589fa9,skill,USKL_55837d589fa9,telecommunications engineering,Q1061219,https://www.wikidata.org/wiki/Q1061219,telecommunications engineering,,,exact,high
USKL_ba929b0ce4dc,skill,USKL_ba929b0ce4dc,mechatronics,Q180165,https://www.wikidata.org/wiki/Q180165,mechatronics,,,exact,high
USKL_22d267e5a02a,skill,USKL_22d267e5a02a,Wireshark,Q403539,https://www.wikidata.org/wiki/Q403539,Wireshark,,,exact,high
USKL_00c57890b0fc,skill,USKL_00c57890b0fc,Distributed Computing,Q5283113,https://www.wikidata.org/wiki/Q5283113,Distributed Computing,,,exact,high
USKL_ed6d17b5959e,skill,USKL_ed6d17b5959e,Python,Q28865,https://www.wikidata.org/wiki/Q28865,Python,,,exact+csv_seed,high
USKL_411a71b404b2,skill,USKL_411a71b404b2,DevOps,Q110262633,https://www.wikidata.org/wiki/Q110262633,DevOps,,,exact,high
USKL_e5f7e4078b1f,skill,USKL_e5f7e4078b1f,database,Q132198157,https://www.wikidata.org/wiki/Q132198157,database,,,exact,high
USKL_3331ff4490ba,skill,USKL_3331ff4490ba,Oracle Warehouse Builder,Q3354986,https://www.wikidata.org/wiki/Q3354986,Oracle Warehouse Builder,,,exact,high
USKL_883936c34ecd,skill,USKL_883936c34ecd,GDPR,Q24625274,https://www.wikidata.org/wiki/Q24625274,GDPR,,,exact,high
USKL_9727fdad2f9d,skill,USKL_9727fdad2f9d,Chef,Q1068916,https://www.wikidata.org/wiki/Q1068916,Chef,,,exact,high
USKL_60cd6bee3526,skill,USKL_60cd6bee3526,information extraction,Q1662562,https://www.wikidata.org/wiki/Q1662562,information extraction,,,exact,high
USKL_08befd8aa54c,skill,USKL_08befd8aa54c,cyber security,Q3510521,https://www.wikidata.org/wiki/Q3510521,computer security,,,alias,medium
USKL_d8d49bff75e8,skill,USKL_d8d49bff75e8,Pascal,Q102072,https://www.wikidata.org/wiki/Q102072,Pascal,,,exact,high
USKL_d1fb015160b9,skill,USKL_d1fb015160b9,Network Engineering,Q110262567,https://www.wikidata.org/wiki/Q110262567,Network Engineering,,,exact,high
USKL_171379b5a44a,skill,USKL_171379b5a44a,Virtual Reality,Q15750987,https://www.wikidata.org/wiki/Q15750987,Virtual Reality,,,exact,high
USKL_78b9bc79ad5a,skill,USKL_78b9bc79ad5a,NoSQL,Q5999165,https://www.wikidata.org/wiki/Q5999165,NoSQL,,,exact,high
