status,kind,source,label_fr,label_en,entity_id,notes
valid,occupation,ARBEITNOW,Administrateur / Administratrice IT senior (H/F/D),Senior IT Administrator (m/w/d),OCC_c8e3c9cb6c38,
valid,occupation,ARBEITNOW,Administrateur / Administratrice Microsoft 365 (H/F/D),Microsoft 365 Administrator (m/w/d),OCC_dcfbee0bf2e2,
valid,occupation,ARBEITNOW,Analyste quantitatif / Modélisateur financier (H/F/X),Quantitative Analyst & Financial Modeller (x/w/m),OCC_bd8b9e27b797,
valid,occupation,ARBEITNOW,Architecte de solutions IA (H/F/D),AI Solution Architect (m/w/d),OCC_41c17d1e8957,
valid,occupation,ARBEITNOW,Architecte logiciel C++ (H/F/D) - Calcul de trajectoires d'outils,C++ Software Architect (m/f/d) Tool Path Calculation,OCC_311501439fae,
valid,occupation,ARBEITNOW,"Architecte principal(e) Gouvernance, Risque et Conformité (GRC)","Principal Governance, Risk and Compliance (GRC) Architect",OCC_27e8294e0a68,
valid,occupation,ARBEITNOW,Assistant(e) Ressources Humaines (H/F/D) - Temps partiel 20-25 heures par semaine,Human Resources Assistant (m/w/d) - Teilzeit 20-25 Wochenstunden,OCC_4cf9a4c09f8b,
valid,occupation,ARBEITNOW,Assistant(e) fiscal(e) ou gestionnaire de paie (H/F/D) avec possibilité de télétravail,Steuerfachangestellte o. Entgeltabrechnerin (w/m/d) mit Homeoffice-Anteil,OCC_e4a8a5aa915e,
reject,occupation,ARBEITNOW,Associé(e) du fondateur - IA et optimisation des processus (Stage et temps plein),Founder's Associate - AI & Process Optimisation (Intern & Fulltime),OCC_6fc64070190a,
reject,occupation,ARBEITNOW,"Candidature spontanée - Construction et infrastructure (H/F/D) | Chef de chantier, métreur, chef de projet","Initiativbewerbung Bau & Infrastruktur (gn) | Bauleiter, Kalkulator, Projektleiter",OCC_8d4b27c92032,
reject,occupation,ARBEITNOW,Chargé(e) de sécurité au travail - Basse-Saxe,Fachkraft für Arbeitssicherheit (mensch) Niedersachsen,OCC_e85f85137c9a,
